source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
U87_DM_phospho_AZD_1h_S1F12	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_AZD_1h_S1F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_AZD_1h_S1F12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_AZD_1h_S1F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_Rap_1h_S1F3	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_Rap_1h_S1F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_Rap_1h_S1F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_Rap_1h_S1F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_Rap_1h_S5F5	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_Rap_1h_S5F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_Rap_1h_S5F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_Rap_1h_S5F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_Dimethyl_phospho_AZD24h_S3F4	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_Dimethyl_phospho_AZD24h_S3F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_Dimethyl_phospho_AZD24h_S3F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_Dimethyl_phospho_AZD24h_S3F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_AZD_1h_S1F11	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_AZD_1h_S1F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_AZD_1h_S1F11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_AZD_1h_S1F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_Rap_1h_S2F11	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_Rap_1h_S2F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_Rap_1h_S2F11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_Rap_1h_S2F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_Rap_24h_S4F16	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_Rap_24h_S4F16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_Rap_24h_S4F16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_Rap_24h_S4F16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_AZD_1h_S4F13	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_AZD_1h_S4F13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_AZD_1h_S4F13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_AZD_1h_S4F13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_AZD_24h_S4F14	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_AZD_24h_S4F14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_AZD_24h_S4F14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_AZD_24h_S4F14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_AZD_1h_S5F7	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_AZD_1h_S5F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_AZD_1h_S5F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_AZD_1h_S5F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_Dimethyl_phospho_AZD24h_S3F19	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_Dimethyl_phospho_AZD24h_S3F19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_Dimethyl_phospho_AZD24h_S3F19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_Dimethyl_phospho_AZD24h_S3F19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_Rap_24h_S3F6	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_Rap_24h_S3F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_Rap_24h_S3F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_Rap_24h_S3F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_AZD_1h_S3F3	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_AZD_1h_S3F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_AZD_1h_S3F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_AZD_1h_S3F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_Rap_1h_S1F19	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_Rap_1h_S1F19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_Rap_1h_S1F19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_Rap_1h_S1F19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
U87_DM_phospho_Rap_24h_S3F7	homo sapiens	brain	not applicable	brain cancer	enrichment of phosphorylated protein	1	U87_DM_phospho_Rap_24h_S3F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	27% NCE	1	1	U87_DM_phospho_Rap_24h_S3F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD033325/U87_DM_phospho_Rap_24h_S3F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	brain
