source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20131022_06_4plexTAILS20131004_po2	mus musculus	Skin	not applicable	not available	1	20131022_06_4plexTAILS20131004_po2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131022_06_4plexTAILS20131004_po2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131022_06_4plexTAILS20131004_po2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_04_PS_PO3	mus musculus	Skin	not applicable	not available	1	20110812_04_PS_PO3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_04_PS_PO3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_04_PS_PO3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131022_07_4plexTAILS20131004_po3	mus musculus	Skin	not applicable	not available	1	20131022_07_4plexTAILS20131004_po3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131022_07_4plexTAILS20131004_po3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131022_07_4plexTAILS20131004_po3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_12_PS_NPO3	mus musculus	Skin	not applicable	not available	1	20110812_12_PS_NPO3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_12_PS_NPO3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_12_PS_NPO3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_07_PS_PO6	mus musculus	Skin	not applicable	not available	1	20110812_07_PS_PO6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_07_PS_PO6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_07_PS_PO6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131104_05_4xTAILS20131004_npo1	mus musculus	Skin	not applicable	not available	1	20131104_05_4xTAILS20131004_npo1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131104_05_4xTAILS20131004_npo1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131104_05_4xTAILS20131004_npo1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131104_10_4xTAILS20131004_npo6	mus musculus	Skin	not applicable	not available	1	20131104_10_4xTAILS20131004_npo6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131104_10_4xTAILS20131004_npo6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131104_10_4xTAILS20131004_npo6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_11_PS_NPO2	mus musculus	Skin	not applicable	not available	1	20110812_11_PS_NPO2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_11_PS_NPO2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_11_PS_NPO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_18_PS_PO2_21	mus musculus	Skin	not applicable	not available	21	20110812_18_PS_PO2_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_18_PS_PO2_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_18_PS_PO2_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131022_09_4plexTAILS20131004_po5_dil1to1	mus musculus	Skin	not applicable	not available	1	20131022_09_4plexTAILS20131004_po5_dil1to1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131022_09_4plexTAILS20131004_po5_dil1to1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131022_09_4plexTAILS20131004_po5_dil1to1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
