source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[biological replicate]
Pyrocystis_lunula_MA	Pyrocystis lunula	cell culture	not applicable	whole organism	1	MA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	NT=ion trap;AC=MS:1000264	1	1	FJFAcero_sol29-17_MA_21072017_170721205246.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	1
Pyrocystis_lunula_MB	Pyrocystis lunula	cell culture	not applicable	whole organism	2	MB	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	NT=ion trap;AC=MS:1000264	1	1	FJFAcero_sol29-17_MB_21072017_170724120812.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	2
Pyrocystis_lunula_MC	Pyrocystis lunula	cell culture	not applicable	whole organism	3	MC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	NT=ion trap;AC=MS:1000264	1	1	FJFAcero_sol29-17_MC_21072017_170724145245.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	3
