source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[surgical procedure]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[host body site]	factor value[surgical procedure]
Sham-BWM_ileum_1_2	Sham-BWM_ileum_1_2	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_1_2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_1_3	Sham-BWM_ileum_1_3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_1_3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_2_1	Sham-BWM_ileum_2_1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_2_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_2_4	Sham-BWM_ileum_2_4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_2_4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_3_3	Sham-BWM_ileum_3_3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_3_3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_3_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_3_5	Sham-BWM_ileum_3_5	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_3_5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_3_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_4_1	Sham-BWM_ileum_4_1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_4_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_4_3	Sham-BWM_ileum_4_3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_4_3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_4_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_4_4	Sham-BWM_ileum_4_4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_4_4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_4_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_5_1	Sham-BWM_ileum_5_1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_5_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_5_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
Sham-BWM_ileum_5_2	Sham-BWM_ileum_5_2	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_5_2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_5_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
