source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[surgical procedure]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[host body site]	factor value[surgical procedure]
RYGB_Biliopancreatic_18-5	RYGB_Biliopancreatic_18-5	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	biliopancreatic limb	not available	Roux-en-Y gastric bypass	1	RYGB_Biliopancreatic_18-5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_Biliopancreatic_18-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	biliopancreatic limb	Roux-en-Y gastric bypass
RYGB_Biliopancreatic_5-5	RYGB_Biliopancreatic_5-5	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	biliopancreatic limb	not available	Roux-en-Y gastric bypass	1	RYGB_Biliopancreatic_5-5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_Biliopancreatic_5-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	biliopancreatic limb	Roux-en-Y gastric bypass
RYGB_cecum_1-3	RYGB_cecum_1-3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	Roux-en-Y gastric bypass	1	RYGB_cecum_1-3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_cecum_1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	Roux-en-Y gastric bypass
RYGB_cecum_2-2	RYGB_cecum_2-2	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	Roux-en-Y gastric bypass	1	RYGB_cecum_2-2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_cecum_2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	Roux-en-Y gastric bypass
RYGB_cecum_2-5	RYGB_cecum_2-5	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	Roux-en-Y gastric bypass	1	RYGB_cecum_2-5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_cecum_2-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	Roux-en-Y gastric bypass
RYGB_cecum_3-1	RYGB_cecum_3-1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	Roux-en-Y gastric bypass	1	RYGB_cecum_3-1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_cecum_3-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	Roux-en-Y gastric bypass
RYGB_cecum_4-4	RYGB_cecum_4-4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	Roux-en-Y gastric bypass	1	RYGB_cecum_4-4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_cecum_4-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	Roux-en-Y gastric bypass
RYGB_cecum_5-2	RYGB_cecum_5-2	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	Roux-en-Y gastric bypass	1	RYGB_cecum_5-2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_cecum_5-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	Roux-en-Y gastric bypass
RYGB_cecum_5-3	RYGB_cecum_5-3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	Roux-en-Y gastric bypass	1	RYGB_cecum_5-3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_cecum_5-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	Roux-en-Y gastric bypass
RYGB_cecum_5-5	RYGB_cecum_5-5	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	Roux-en-Y gastric bypass	1	RYGB_cecum_5-5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_cecum_5-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	Roux-en-Y gastric bypass
RYGB_colon_10-2	RYGB_colon_10-2	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	Roux-en-Y gastric bypass	1	RYGB_colon_10-2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_colon_10-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	Roux-en-Y gastric bypass
RYGB_colon_10-3	RYGB_colon_10-3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	Roux-en-Y gastric bypass	1	RYGB_colon_10-3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_colon_10-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	Roux-en-Y gastric bypass
RYGB_colon_10-4	RYGB_colon_10-4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	Roux-en-Y gastric bypass	1	RYGB_colon_10-4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_colon_10-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	Roux-en-Y gastric bypass
RYGB_colon_6-1	RYGB_colon_6-1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	Roux-en-Y gastric bypass	1	RYGB_colon_6-1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_colon_6-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	Roux-en-Y gastric bypass
RYGB_colon_6-2	RYGB_colon_6-2	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	Roux-en-Y gastric bypass	1	RYGB_colon_6-2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_colon_6-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	Roux-en-Y gastric bypass
RYGB_colon_7-1	RYGB_colon_7-1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	Roux-en-Y gastric bypass	1	RYGB_colon_7-1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_colon_7-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	Roux-en-Y gastric bypass
RYGB_colon_7-4	RYGB_colon_7-4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	Roux-en-Y gastric bypass	1	RYGB_colon_7-4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_colon_7-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	Roux-en-Y gastric bypass
RYGB_colon_9-5	RYGB_colon_9-5	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	Roux-en-Y gastric bypass	1	RYGB_colon_9-5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_colon_9-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	Roux-en-Y gastric bypass
RYGB_ileum_2_1	RYGB_ileum_2_1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	Roux-en-Y gastric bypass	1	RYGB_ileum_2_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_ileum_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	Roux-en-Y gastric bypass
RYGB_ileum_4_1	RYGB_ileum_4_1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	Roux-en-Y gastric bypass	1	RYGB_ileum_4_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_ileum_4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	Roux-en-Y gastric bypass
RYGB_ileum_5_3	RYGB_ileum_5_3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	Roux-en-Y gastric bypass	1	RYGB_ileum_5_3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_ileum_5_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	Roux-en-Y gastric bypass
Sham-BWM_cecum_2-1	Sham-BWM_cecum_2-1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	sham surgery	1	Sham-BWM_cecum_2-1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_cecum_2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	sham surgery
Sham-BWM_cecum_2-4	Sham-BWM_cecum_2-4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	sham surgery	1	Sham-BWM_cecum_2-4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_cecum_2-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	sham surgery
Sham-BWM_cecum_4-4	Sham-BWM_cecum_4-4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	cecum	not available	sham surgery	1	Sham-BWM_cecum_4-4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_cecum_4-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	cecum	sham surgery
Sham-BWM_colon_6-3	Sham-BWM_colon_6-3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	sham surgery	1	Sham-BWM_colon_6-3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_colon_6-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	sham surgery
Sham-BWM_colon_7-4	Sham-BWM_colon_7-4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	sham surgery	1	Sham-BWM_colon_7-4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_colon_7-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	sham surgery
Sham-BWM_colon_8-4	Sham-BWM_colon_8-4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	sham surgery	1	Sham-BWM_colon_8-4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_colon_8-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	sham surgery
Sham-BWM_colon_9-3	Sham-BWM_colon_9-3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	sham surgery	1	Sham-BWM_colon_9-3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_colon_9-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	sham surgery
Sham-BWM_colon_9-5	Sham-BWM_colon_9-5	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	colon	not available	sham surgery	1	Sham-BWM_colon_9-5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_colon_9-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	colon	sham surgery
Sham-BWM_ileum_1_1	Sham-BWM_ileum_1_1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	ileum	not available	sham surgery	1	Sham-BWM_ileum_1_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	Sham-BWM_ileum_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	ileum	sham surgery
