source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Zybaylov_102617_CKD_L2_04	Zybaylov_102617_CKD_L2_04	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_CKD_L2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_CKD_L2_04.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
Zybaylov_102617_CKD_L2_07	Zybaylov_102617_CKD_L2_07	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_CKD_L2_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_CKD_L2_07.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
Zybaylov_102617_CKD_L2_09	Zybaylov_102617_CKD_L2_09	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_CKD_L2_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_CKD_L2_09.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
Zybaylov_102617_CKD_L2_11	Zybaylov_102617_CKD_L2_11	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_CKD_L2_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_CKD_L2_11.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
Zybaylov_102617_CKD_L2_15	Zybaylov_102617_CKD_L2_15	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_CKD_L2_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_CKD_L2_15.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
Zybaylov_102617_CKD_L2_21	Zybaylov_102617_CKD_L2_21	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_CKD_L2_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_CKD_L2_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
Zybaylov_102617_CKD_L6_03	Zybaylov_102617_CKD_L6_03	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_CKD_L6_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_CKD_L6_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
Zybaylov_102617_CKD_L6_15	Zybaylov_102617_CKD_L6_15	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_CKD_L6_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_CKD_L6_15.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
Zybaylov_102617_CKD_L6_22	Zybaylov_102617_CKD_L6_22	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_CKD_L6_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_CKD_L6_22.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
Zybaylov_102617_H_L4_04	Zybaylov_102617_H_L4_04	Mus musculus	Cecum	not applicable	Chronic kidney disease	Investigation_of_Resistant_Starch_effect_on_gut_microbiome_in_5_6_nephrectomy_mouse_model_of_Chronic_Kidney_Disease	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Cecum	Chronic kidney disease	1	Zybaylov_102617_H_L4_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Zybaylov_102617_H_L4_04.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Cecum
