source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
200217-1-1-.group	200217-1-1-.group	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200217-1-1-.group	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200217-1-1-.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200217-1-1-	200217-1-1	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200217-1-1-	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200217-1-1-.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200217-1-7-.group	200217-1-7-.group	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200217-1-7-.group	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200217-1-7-.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200217-1-A-6	200217-1-A-6	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200217-1-A-6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200217-1-A-6.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200217-3-7-.group	200217-3-7-.group	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200217-3-7-.group	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200217-3-7-.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200217-3-8-	200217-3-8	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200217-3-8-	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200217-3-8-.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-2-A-2.group	200220-2-A-2.group	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-2-A-2.group	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-2-A-2.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-2-A-3.group	200220-2-A-3.group	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-2-A-3.group	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-2-A-3.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-4-10-.group	200220-4-10-.group	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-4-10-.group	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-4-10-.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-4-10-	200220-4-10	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-4-10-	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-4-10-.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-4-4-	200220-4-4	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-4-4-	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-4-4-.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-4-9-.group	200220-4-9-.group	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-4-9-.group	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-4-9-.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-4-9-	200220-4-9	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-4-9-	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-4-9-.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-4-A-11.group	200220-4-A-11.group	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-4-A-11.group	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-4-A-11.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-4-A-5.group	200220-4-A-5.group	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-4-A-5.group	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-4-A-5.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-4-A-5	200220-4-A-5	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-4-A-5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-4-A-5.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-4-A-8	200220-4-A-8	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-4-A-8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-4-A-8.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200220-6-11-	200220-6-11	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200220-6-11-	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200220-6-11-.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
200225-5-A-1	200225-5-A-1	Homo sapiens	feces	not applicable	Autism spectrum disorder	Multi-Omics_signature_of_Autism_Spectral_Disorder_reveals_microbial_macromolecules	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	Autism spectrum disorder	1	200225-5-A-1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	not applicable	not available	1	1	200225-5-A-1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
