source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[genotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD064057-Sample-1	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-1	tissue	1	wild-type littermate; total mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_01_Chchd10_KI_S55L_wt_total_91_Ddm8	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20240827_DECTXuxSGj_DoDi_01_Chchd10_KI_S55L_wt_total_91_Ddm8.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; total mitochondrial fraction
PXD064057-Sample-2	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-1	tissue	1	wild-type littermate; Triton X-100 insoluble mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_02_Chchd10_KI_S55L_wt_pellet_91_UbdO_20240906192323	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	3	1	20240827_DECTXuxSGj_DoDi_02_Chchd10_KI_S55L_wt_pellet_91_UbdO_20240906192323.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; Triton X-100 insoluble mitochondrial fraction
PXD064057-Sample-3	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-1	tissue	1	wild-type littermate; Triton X-100 soluble mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_03_Chchd10_KI_S55L_wt_supernatant_91_Kaf6	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	2	1	20240827_DECTXuxSGj_DoDi_03_Chchd10_KI_S55L_wt_supernatant_91_Kaf6.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; Triton X-100 soluble mitochondrial fraction
PXD064057-Sample-4	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-2	tissue	1	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); total mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_04_Chchd10_KI_S55L_het_total_109_8r55	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20240827_DECTXuxSGj_DoDi_04_Chchd10_KI_S55L_het_total_109_8r55.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); total mitochondrial fraction
PXD064057-Sample-5	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-2	tissue	1	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 insoluble mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_05_Chchd10_KI_S55L_het_pellet_109_Hs4A	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	3	1	20240827_DECTXuxSGj_DoDi_05_Chchd10_KI_S55L_het_pellet_109_Hs4A.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 insoluble mitochondrial fraction
PXD064057-Sample-6	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-2	tissue	1	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 soluble mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_06_Chchd10_KI_S55L_het_supernatant_109_TW14	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	2	1	20240827_DECTXuxSGj_DoDi_06_Chchd10_KI_S55L_het_supernatant_109_TW14.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 soluble mitochondrial fraction
PXD064057-Sample-7	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-3	tissue	2	wild-type littermate; total mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_07_Chchd10_KI_S55L_wt_total_94_9YPk	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20240827_DECTXuxSGj_DoDi_07_Chchd10_KI_S55L_wt_total_94_9YPk.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; total mitochondrial fraction
PXD064057-Sample-8	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-3	tissue	2	wild-type littermate; Triton X-100 insoluble mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_08_Chchd10_KI_S55L_wt_pellet_94_9iNG	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	3	1	20240827_DECTXuxSGj_DoDi_08_Chchd10_KI_S55L_wt_pellet_94_9iNG.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; Triton X-100 insoluble mitochondrial fraction
PXD064057-Sample-9	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-3	tissue	2	wild-type littermate; Triton X-100 soluble mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_09_Chchd10_KI_S55L_wt_supernatant_94_qOQc	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	2	1	20240827_DECTXuxSGj_DoDi_09_Chchd10_KI_S55L_wt_supernatant_94_qOQc.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; Triton X-100 soluble mitochondrial fraction
PXD064057-Sample-10	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-4	tissue	2	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); total mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_10_Chchd10_KI_S55L_het_total_106_1MuG	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20240827_DECTXuxSGj_DoDi_10_Chchd10_KI_S55L_het_total_106_1MuG.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); total mitochondrial fraction
