source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample1	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay1	proteomic profiling by mass spectrometry	1	2022_S06_MFrugier_603-3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample2	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay2	proteomic profiling by mass spectrometry	1	2022_S06_MFrugier_601-1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample3	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay3	proteomic profiling by mass spectrometry	1	2022_S06_MFrugier_600-3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample4	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay4	proteomic profiling by mass spectrometry	1	2015_51_D.Kapps_IP_1-4_9oct_KO.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample5	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay5	proteomic profiling by mass spectrometry	1	2022_S06_MFrugier_602-1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample6	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay6	proteomic profiling by mass spectrometry	1	2015_44_D.Kapps_sansBSA_E_WT.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample7	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay7	proteomic profiling by mass spectrometry	1	2021_S15_CPaulus_1715_2_1000ng_TT.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample8	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay8	proteomic profiling by mass spectrometry	1	2021_S15_CPaulus_1716_3_1000ng_TT.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample9	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay9	proteomic profiling by mass spectrometry	1	2015_47_D.Kapps_noBSA2_E-KO.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample10	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay10	proteomic profiling by mass spectrometry	1	2021_S15_CPaulus_1715_1_1000ng_TT.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample11	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay11	proteomic profiling by mass spectrometry	1	2022_S06_MFrugier_603-1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample12	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay12	proteomic profiling by mass spectrometry	1	2021_S15_CPaulus_1717_2_1000ng_TT.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample13	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay13	proteomic profiling by mass spectrometry	1	2015_44_D.Kapps_sansBSA_E_KO.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample14	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay14	proteomic profiling by mass spectrometry	1	2015_41_DKapps_liquide_ElutionKo.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample15	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay15	proteomic profiling by mass spectrometry	1	2022_S06_MFrugier_600-2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample16	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay16	proteomic profiling by mass spectrometry	1	2015_47_D.Kapps_noBSA2_E-WT.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample17	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay17	proteomic profiling by mass spectrometry	1	2022_S06_MFrugier_602-3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample18	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay18	proteomic profiling by mass spectrometry	1	2022_S06_MFrugier_600-1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample19	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay19	proteomic profiling by mass spectrometry	1	2021_S15_CPaulus_1717_3_1000ng_TT.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample20	Mus musculus	not available	not available	1	not available	not available	not available	not available	Assay20	proteomic profiling by mass spectrometry	1	2021_S15_CPaulus_1717_1_1000ng_TT.wiff	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
