source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
A07_S1-A7_1_7170.d.ZIP	A07_S1-A7_1_7170.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	A07_S1-A7_1_7170.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	A07_S1-A7_1_7170.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
A57_S1-E9_1_7215.d.ZIP	A57_S1-E9_1_7215.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	A57_S1-E9_1_7215.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	A57_S1-E9_1_7215.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
A74_S1-G2_1_7228.d.ZIP	A74_S1-G2_1_7228.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	A74_S1-G2_1_7228.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	A74_S1-G2_1_7228.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
A76_S1-G4_1_7230.d.ZIP	A76_S1-G4_1_7230.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	A76_S1-G4_1_7230.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	A76_S1-G4_1_7230.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
A77_S1-G5_1_7231.d.ZIP	A77_S1-G5_1_7231.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	A77_S1-G5_1_7231.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	A77_S1-G5_1_7231.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
A81_S1-G9_1_7235.d.ZIP	A81_S1-G9_1_7235.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	A81_S1-G9_1_7235.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	A81_S1-G9_1_7235.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
A83_S1-G11_1_7237.d.ZIP	A83_S1-G11_1_7237.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	A83_S1-G11_1_7237.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	A83_S1-G11_1_7237.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
A92_S1-H8_1_7244.d.ZIP	A92_S1-H8_1_7244.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	A92_S1-H8_1_7244.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	A92_S1-H8_1_7244.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
B18_S1-B6_1_6987.d.ZIP	B18_S1-B6_1_6987.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	B18_S1-B6_1_6987.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	B18_S1-B6_1_6987.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
B21_S1-B9_1_6990.d.ZIP	B21_S1-B9_1_6990.d.ZIP	Homo sapiens	Blood plasma	not applicable	not available	Data_in_support_of_the_hPOP_Human_Proteomics_project	Blood plasma	Blood plasma	not available	not available	not available	not available	1	B21_S1-B9_1_6990.d.ZIP	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	B21_S1-B9_1_6990.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood plasma
