source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[colonization]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[alkylation reagent]	comment[reduction reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[colonization]	factor value[organism part]
BT-mouse3-stomach	Mus musculus	stomach	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	3	ath017840	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017840.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	stomach
GF-mouse2-jejunum	Mus musculus	jejunum	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	2	ath017842	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017842.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	jejunum
GF-mouse1-cecum	Mus musculus	caecum	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	1	ath017843	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017843.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	caecum
GF-mouse2-proximal-colon	Mus musculus	right colon	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	2	ath017846	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017846.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	right colon
GF-mouse1-proximal-colon	Mus musculus	right colon	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	1	ath017848	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017848.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	right colon
GF-mouse2-stomach	Mus musculus	stomach	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	2	ath017849	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017849.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	stomach
BT-mouse3-proximal-colon	Mus musculus	right colon	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	3	ath017853	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017853.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	right colon
GF-mouse2-ileum	Mus musculus	ileum	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	2	ath017854	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017854.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	ileum
BT-mouse3-ileum	Mus musculus	ileum	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	3	ath017859	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017859.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	ileum
GF-mouse1-stomach	Mus musculus	stomach	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	1	ath017860	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017860.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	stomach
