source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HeLaK_GFP_1	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	1	GFP	20260504_tims_FBU_MS_Marion_collabGiessen_GFP_1_Slot1-10_1_10544	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFP_1_Slot1-10_1_10544.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP
HeLaK_GFP_2	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	2	GFP	20260504_tims_FBU_MS_Marion_collabGiessen_GFP_2_Slot1-22_1_10547	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFP_2_Slot1-22_1_10547.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP
HeLaK_GFP_3	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	3	GFP	20260504_tims_FBU_MS_Marion_collabGiessen_GFP_3_Slot1-34_1_10550	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFP_3_Slot1-34_1_10550.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP
HeLaK_GFP_4	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	4	GFP	20260504_tims_FBU_MS_Marion_collabGiessen_GFP_4_Slot1-46_1_10553	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFP_4_Slot1-46_1_10553.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP
HeLaK_GFPznf1_1	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	1	GFP-ZNF512B	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1_1_Slot1-58_1_10545	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1_1_Slot1-58_1_10545.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP-ZNF512B
HeLaK_GFPznf1_2	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	2	GFP-ZNF512B	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1_2_Slot1-70_1_10548	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1_2_Slot1-70_1_10548.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP-ZNF512B
HeLaK_GFPznf1_3	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	3	GFP-ZNF512B	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1_3_Slot1-82_1_10551	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1_3_Slot1-82_1_10551.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP-ZNF512B
HeLaK_GFPznf1_4	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	4	GFP-ZNF512B	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1_4_Slot1-94_1_10554	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1_4_Slot1-94_1_10554.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP-ZNF512B
HeLaK_GFPznf1delta_1	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	1	GFP-ZNF512B-delta	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1delta_1_Slot1-11_1_10546	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1delta_1_Slot1-11_1_10546.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP-ZNF512B-delta
HeLaK_GFPznf1delta_2	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa Kyoto	CVCL_1922	cell	adult	30Y6M	female	not available	2	GFP-ZNF512B-delta	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1delta_2_Slot1-23_1_10549	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260504_tims_FBU_MS_Marion_collabGiessen_GFPznf1delta_2_Slot1-23_1_10549.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	GFP-ZNF512B-delta
