source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[carbon source]	factor value[crosslink scheme]	factor value[sample group]
Yeast mitochondria A_Linden crude fresh 1to1	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_131118_211118_ymitos_crude_fresh_1to1_10	proteomic profiling by mass spectrometry	A_Linden_131118_211118_ymitos_crude_fresh_1to1_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_131118_211118_ymitos_crude_fresh_1to1_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3 crude fresh 1to1	A_Linden crude fresh 1to1
Yeast mitochondria A_Linden crude fresh 1to1	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_131118_211118_ymitos_crude_fresh_1to1_11	proteomic profiling by mass spectrometry	A_Linden_131118_211118_ymitos_crude_fresh_1to1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_131118_211118_ymitos_crude_fresh_1to1_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3 crude fresh 1to1	A_Linden crude fresh 1to1
Yeast mitochondria A_Linden crude fresh 1to1	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_131118_211118_ymitos_crude_fresh_1to1_12	proteomic profiling by mass spectrometry	A_Linden_131118_211118_ymitos_crude_fresh_1to1_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_131118_211118_ymitos_crude_fresh_1to1_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3 crude fresh 1to1	A_Linden crude fresh 1to1
Yeast mitochondria A_Linden crude fresh 1to1	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_131118_211118_ymitos_crude_fresh_1to1_13	proteomic profiling by mass spectrometry	A_Linden_131118_211118_ymitos_crude_fresh_1to1_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_131118_211118_ymitos_crude_fresh_1to1_13.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3 crude fresh 1to1	A_Linden crude fresh 1to1
Yeast mitochondria A_Linden crude fresh 1to1	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_131118_211118_ymitos_crude_fresh_1to1_14	proteomic profiling by mass spectrometry	A_Linden_131118_211118_ymitos_crude_fresh_1to1_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_131118_211118_ymitos_crude_fresh_1to1_14.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3 crude fresh 1to1	A_Linden crude fresh 1to1
Yeast mitochondria A_Linden crude fresh 1to1	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_131118_211118_ymitos_crude_fresh_1to1_7to9	proteomic profiling by mass spectrometry	A_Linden_131118_211118_ymitos_crude_fresh_1to1_7to9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_131118_211118_ymitos_crude_fresh_1to1_7to9.raw	1	7to9	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3 crude fresh 1to1	A_Linden crude fresh 1to1
Yeast mitochondria A_Linden glyd0-glud4	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_231018_241018_ymitos_glyd0-glud4_10	proteomic profiling by mass spectrometry	A_Linden_231018_241018_ymitos_glyd0-glud4_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_231018_241018_ymitos_glyd0-glud4_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3-d0 glycerol / BS3-d4 glucose	A_Linden glyd0-glud4
Yeast mitochondria A_Linden glyd0-glud4	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_231018_241018_ymitos_glyd0-glud4_11	proteomic profiling by mass spectrometry	A_Linden_231018_241018_ymitos_glyd0-glud4_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_231018_241018_ymitos_glyd0-glud4_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3-d0 glycerol / BS3-d4 glucose	A_Linden glyd0-glud4
Yeast mitochondria A_Linden glyd0-glud4	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_231018_241018_ymitos_glyd0-glud4_6to8	proteomic profiling by mass spectrometry	A_Linden_231018_241018_ymitos_glyd0-glud4_6to8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_231018_241018_ymitos_glyd0-glud4_6to8.raw	1	6to8	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3-d0 glycerol / BS3-d4 glucose	A_Linden glyd0-glud4
Yeast mitochondria A_Linden glyd0-glud4	Saccharomyces cerevisiae	mitochondrion	not available	not applicable	1	not available	not available	not available	30 A	not available	not available	A_Linden_231018_241018_ymitos_glyd0-glud4_9	proteomic profiling by mass spectrometry	A_Linden_231018_241018_ymitos_glyd0-glud4_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017620/A_Linden_231018_241018_ymitos_glyd0-glud4_9.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	5 Da	20 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	not available	not available	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	glycerol and glucose	BS3-d0 glycerol / BS3-d4 glucose	A_Linden glyd0-glud4
