source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Ecoli_Human_Background_1	Escherichia coli	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Proteomics_Ecoli_Human_Background_1	proteomic profiling by mass spectrometry	1	04854_F1_R8_P0109699E13_TMT10.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=TMT10plex	1	NT=higher energy collisional dissociation	300 ppm	700 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Ecoli_Human_Background_2	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Proteomics_Ecoli_Human_Background_2	proteomic profiling by mass spectrometry	1	04854_F1_R8_P0109699E50_TMT10.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=TMT10plex	2	NT=higher energy collisional dissociation	300 ppm	700 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Ecoli_Human_Background_3	Escherichia coli	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Proteomics_Ecoli_Human_Background_3	proteomic profiling by mass spectrometry	1	04854_F1_R8_P0109699E32_TMT10.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=TMT10plex	3	NT=higher energy collisional dissociation	300 ppm	700 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Ecoli_Human_Background_4	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Proteomics_Ecoli_Human_Background_4	proteomic profiling by mass spectrometry	1	04854_F1_R8_P0109699E41_TMT10.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=TMT10plex	4	NT=higher energy collisional dissociation	300 ppm	700 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
