source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[diet]	factor value[intestinal region]	factor value[time on Western-style diet]
PXD028613 experiment 1: Si5 CD.1	Mus musculus	jejunum	not available	1	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_01	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI5 (jejunum)	0
PXD028613 experiment 2: Si5 CD.2	Mus musculus	jejunum	not available	2	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_02	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI5 (jejunum)	0
PXD028613 experiment 3: Si5 CD.3	Mus musculus	jejunum	not available	3	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_03	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI5 (jejunum)	0
PXD028613 experiment 4: Si5 CD.4	Mus musculus	jejunum	not available	4	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_04	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI5 (jejunum)	0
PXD028613 experiment 5: Si5 CD.5	Mus musculus	jejunum	not available	5	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_05	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI5 (jejunum)	0
PXD028613 experiment 6: Si5 WSD 56 days	Mus musculus	jejunum	not available	6	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_06	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	56
PXD028613 experiment 7: Si5 WSD 56 days	Mus musculus	jejunum	not available	7	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_07	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	56
PXD028613 experiment 8: Si5 WSD 56 days	Mus musculus	jejunum	not available	8	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_08	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	56
PXD028613 experiment 9: Si5 WSD 56 days	Mus musculus	jejunum	not available	9	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_09	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	56
PXD028613 experiment 10: Si5 WSD 56 days	Mus musculus	jejunum	not available	10	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_10	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	56
