source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[biorepository]	characteristics[passage number]	characteristics[culture medium]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms min charge]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
N2a_1	Mus musculus	peripheral nervous system	neural crest derived neuroblast	neuroblastoma	cell line	Neuro-2a	CVCL_0470	Neuro-2a	not available	A/J	male	ATCC (CCL-131)	not available	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	1	20120710_EXQ4_DaHo_SA_labelfree_Neuro2A_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-07-10	1	1	20120710_EXQ4_DaHo_SA_labelfree_Neuro2A_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Neuro-2a
N2a_2	Mus musculus	peripheral nervous system	neural crest derived neuroblast	neuroblastoma	cell line	Neuro-2a	CVCL_0470	Neuro-2a	not available	A/J	male	ATCC (CCL-131)	not available	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	2	20120710_EXQ4_DaHo_SA_labelfree_Neuro2A_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-07-10	1	1	20120710_EXQ4_DaHo_SA_labelfree_Neuro2A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Neuro-2a
N2a_3	Mus musculus	peripheral nervous system	neural crest derived neuroblast	neuroblastoma	cell line	Neuro-2a	CVCL_0470	Neuro-2a	not available	A/J	male	ATCC (CCL-131)	not available	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	3	20120710_EXQ4_DaHo_SA_labelfree_Neuro2A_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-07-10	1	1	20120710_EXQ4_DaHo_SA_labelfree_Neuro2A_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Neuro-2a
NSC34_1	Mus musculus	spinal cord	not available	not available	cell line	NSC-34 cell	CVCL_D356	NSC-34	not available	not available	not available	Biozol (CED-CLU140)	1-6	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	1	20120710_EXQ4_DaHo_SA_labelfree_NSC34_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-07-10	1	1	20120710_EXQ4_DaHo_SA_labelfree_NSC34_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NSC-34 cell
NSC34_2	Mus musculus	spinal cord	not available	not available	cell line	NSC-34 cell	CVCL_D356	NSC-34	not available	not available	not available	Biozol (CED-CLU140)	1-6	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	2	20120710_EXQ4_DaHo_SA_labelfree_NSC34_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-07-10	1	1	20120710_EXQ4_DaHo_SA_labelfree_NSC34_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NSC-34 cell
NSC34_3	Mus musculus	spinal cord	not available	not available	cell line	NSC-34 cell	CVCL_D356	NSC-34	not available	not available	not available	Biozol (CED-CLU140)	1-6	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	3	20120710_EXQ4_DaHo_SA_labelfree_NSC34_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-07-10	1	1	20120710_EXQ4_DaHo_SA_labelfree_NSC34_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NSC-34 cell
NSC34_1	Mus musculus	spinal cord	not available	not available	cell line	NSC-34 cell	CVCL_D356	NSC-34	not available	not available	not available	Biozol (CED-CLU140)	1-6	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	1	20120710_EXQ4_DaHo_SA_labelfree_NSC34_1_sec	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-07-10	1	2	20120710_EXQ4_DaHo_SA_labelfree_NSC34_1_sec.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NSC-34 cell
NSC34_2	Mus musculus	spinal cord	not available	not available	cell line	NSC-34 cell	CVCL_D356	NSC-34	not available	not available	not available	Biozol (CED-CLU140)	1-6	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	2	20120710_EXQ4_DaHo_SA_labelfree_NSC34_2_sec	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-07-10	1	2	20120710_EXQ4_DaHo_SA_labelfree_NSC34_2_sec.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NSC-34 cell
NSC34_3	Mus musculus	spinal cord	not available	not available	cell line	NSC-34 cell	CVCL_D356	NSC-34	not available	not available	not available	Biozol (CED-CLU140)	1-6	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	3	20120710_EXQ4_DaHo_SA_labelfree_NSC34_3_sec	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-07-10	1	2	20120710_EXQ4_DaHo_SA_labelfree_NSC34_3_sec.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NSC-34 cell
NSC34_4	Mus musculus	spinal cord	not available	not available	cell line	NSC-34 cell	CVCL_D356	NSC-34	not available	not available	not available	Biozol (CED-CLU140)	1-6	Dulbecco's Modified Eagle Medium	not available	-196 °C	no depletion	4	20121015_EXQ4_DaHo_SA_labelfree_NSC34_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	2	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	2012-10-15	1	1	20121015_EXQ4_DaHo_SA_labelfree_NSC34_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NSC-34 cell
