source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[strain or breed]	characteristics[genotype]	characteristics[growth condition]	characteristics[growth phase]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]
Lmono_LO28_WT_rep1	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	wild type	BHI broth, 30 C	late-exponential phase	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-16T16:09:21	1	1	TA31_WT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type
Lmono_LO28_WT_rep2	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	wild type	BHI broth, 30 C	late-exponential phase	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-16T19:00:42	1	1	TA32_WT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type
Lmono_LO28_WT_rep3	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	wild type	BHI broth, 30 C	late-exponential phase	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-16T21:51:45	1	1	TA33_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type
Lmono_LO28_V14_AN_rep1	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 14 (rpsU deletion)	BHI broth, 30 C	late-exponential phase	not pooled	1	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-19T02:41:48	1	1	TA49__V14_AN_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 14 (rpsU deletion)
Lmono_LO28_V14_AN_rep2	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 14 (rpsU deletion)	BHI broth, 30 C	late-exponential phase	not pooled	2	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-19T05:32:54	1	1	TA50__V14_AN_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 14 (rpsU deletion)
Lmono_LO28_V14_AN_rep3	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 14 (rpsU deletion)	BHI broth, 30 C	late-exponential phase	not pooled	3	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-19T08:24:03	1	1	TA51__V14_AN_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 14 (rpsU deletion)
Lmono_LO28_14_1_S2_rep1	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 14 derivative (deposit label 14_1_S2)	BHI broth, 30 C	late-exponential phase	not pooled	1	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-17T00:42:53	1	1	TA34_14_1_S2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 14 derivative (deposit label 14_1_S2)
Lmono_LO28_14_1_S2_rep2	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 14 derivative (deposit label 14_1_S2)	BHI broth, 30 C	late-exponential phase	not pooled	2	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-17T03:34:00	1	1	TA35_14_1_S2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 14 derivative (deposit label 14_1_S2)
Lmono_LO28_14_1_S2_rep3	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 14 derivative (deposit label 14_1_S2)	BHI broth, 30 C	late-exponential phase	not pooled	3	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-17T06:25:07	1	1	TA36_14_1_S2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 14 derivative (deposit label 14_1_S2)
Lmono_LO28_14_2_S2_rep1	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 14 derivative (deposit label 14_2_S2)	BHI broth, 30 C	late-exponential phase	not pooled	1	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-17T14:58:51	1	1	TA37_14_2_S2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 14 derivative (deposit label 14_2_S2)
