source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms min charge]	comment[ms max charge]	comment[ms1 scan range]	comment[ms2 scan range]	factor value[disease]	factor value[treatment]
Line3_PPMS_P9	homo sapiens	cell culture	neural progenitor cell	1	not pooled	primary progressive multiple sclerosis	cell line	not applicable	not available	not available	not available	PPMS_Line3	iPSC derived cell line	not available	not available	9	not available	-80 °C	OTF17-3347_Crocker_Line3PPMS_P9.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013060/OTF17-3347_Crocker_Line3PPMS_P9.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	28 NCE	10 ppm	0.02 Da	iodoacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	2	6	300m/z-1700m/z	200m/z-2000m/z	primary progressive multiple sclerosis	not applicable
Line3_rapamycin	homo sapiens	cell culture	neural progenitor cell	1	not pooled	primary progressive multiple sclerosis	cell line	Sirolimus	not available	not available	not available	PPMS_Line3	iPSC derived cell line	not available	not available	9	not available	-80 °C	OTF17-3352_Crocker_Line3rapa.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013060/OTF17-3352_Crocker_Line3rapa.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	28 NCE	10 ppm	0.02 Da	iodoacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	2	6	300m/z-1700m/z	200m/z-2000m/z	primary progressive multiple sclerosis	Sirolimus
Line3.1_control	homo sapiens	cell culture	neural progenitor cell	1	not pooled	normal	cell line	not applicable	not available	not available	not available	Control_Line3.1	iPSC derived cell line	not available	not available	9	not available	-80 °C	OTF17-3357_Crocker_Line3.1control.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013060/OTF17-3357_Crocker_Line3.1control.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	28 NCE	10 ppm	0.02 Da	iodoacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	2	6	300m/z-1700m/z	200m/z-2000m/z	normal	not applicable
Line1	homo sapiens	cell culture	neural progenitor cell	2	not pooled	primary progressive multiple sclerosis	cell line	not applicable	not available	not available	not available	PPMS_Line1	iPSC derived cell line	not available	not available	9	not available	-80 °C	OTF17-3362_Crocker_Line1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013060/OTF17-3362_Crocker_Line1.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	28 NCE	10 ppm	0.02 Da	iodoacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	2	6	300m/z-1700m/z	200m/z-2000m/z	primary progressive multiple sclerosis	not applicable
Line1_rapamycin	homo sapiens	cell culture	neural progenitor cell	2	not pooled	primary progressive multiple sclerosis	cell line	Sirolimus	not available	not available	not available	PPMS_Line1	iPSC derived cell line	not available	not available	9	not available	-80 °C	OTF17-3367_Crocker_Line1rapa.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013060/OTF17-3367_Crocker_Line1rapa.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	28 NCE	10 ppm	0.02 Da	iodoacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	2	6	300m/z-1700m/z	200m/z-2000m/z	primary progressive multiple sclerosis	Sirolimus
