source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
TH2-APA	Escherichia coli	not applicable	not applicable	1	not applicable	TH2-APA	proteomic profiling by mass spectrometry	1	TH2-APA.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH16-AUrab	Escherichia coli	not applicable	not applicable	1	not applicable	TH16-AUrab	proteomic profiling by mass spectrometry	1	TH16-AUrab.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH15-AUc1A	Escherichia coli	not applicable	not applicable	1	not applicable	TH15-AUc1A	proteomic profiling by mass spectrometry	1	TH15-AUc1A.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH14_AUdap	Escherichia coli	not applicable	not applicable	1	not applicable	TH14_AUdap	proteomic profiling by mass spectrometry	1	TH14_AUdap.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH13-AUap	Escherichia coli	not applicable	not applicable	1	not applicable	TH13-AUap	proteomic profiling by mass spectrometry	1	TH13-AUap.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH4_GIG	Escherichia coli	not applicable	not applicable	1	not applicable	TH4_GIG	proteomic profiling by mass spectrometry	1	TH4_GIG.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH1-PAA	Escherichia coli	not applicable	not applicable	1	not applicable	TH1-PAA	proteomic profiling by mass spectrometry	1	TH1-PAA.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH3_IGG	Escherichia coli	not applicable	not applicable	1	not applicable	TH3_IGG	proteomic profiling by mass spectrometry	1	TH3_IGG.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH8_GdapG	Escherichia coli	not applicable	not applicable	1	not applicable	TH8_GdapG	proteomic profiling by mass spectrometry	1	TH8_GdapG.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH5_apGG	Escherichia coli	not applicable	not applicable	1	not applicable	TH5_apGG	proteomic profiling by mass spectrometry	1	TH5_apGG.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH6_GapG	Escherichia coli	not applicable	not applicable	1	not applicable	TH6_GapG	proteomic profiling by mass spectrometry	1	TH6_GapG.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH9_ZeUU	Escherichia coli	not applicable	not applicable	1	not applicable	TH9_ZeUU	proteomic profiling by mass spectrometry	1	TH9_ZeUU.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH11-AUP	Escherichia coli	not applicable	not applicable	1	not applicable	TH11-AUP	proteomic profiling by mass spectrometry	1	TH11-AUP.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH12_AUI	Escherichia coli	not applicable	not applicable	1	not applicable	TH12_AUI	proteomic profiling by mass spectrometry	1	TH12_AUI.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH7_dapGG	Escherichia coli	not applicable	not applicable	1	not applicable	TH7_dapGG	proteomic profiling by mass spectrometry	1	TH7_dapGG.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
TH10_UZeU	Escherichia coli	not applicable	not applicable	1	not applicable	TH10_UZeU	proteomic profiling by mass spectrometry	1	TH10_UZeU.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision dissociation	10 ppm	0.05 Da	not available	NT=ms-proteomics;VV=v1.1.0
