source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[strain/genotype]	characteristics[expression construct]	characteristics[time]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
DM42	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_sc8	LP expression strain	0 min	9249_MOL0083_S017_DM42_LP_sc8_T0_B_1_Slot1-26	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9249_MOL0083_S017_DM42_LP_sc8_T0_B_1_Slot1-26.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM43	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_sc8	LP expression strain	0 min	9288_MOL0084_S050_DM43_LP_sc8_T0_C_1_Slot2-41	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9288_MOL0084_S050_DM43_LP_sc8_T0_C_1_Slot2-41.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM44	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_sc8	LP expression strain	0 min	9259_MOL0083_S025_DM44_LP_sc8_T0_D_1_Slot1-34	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9259_MOL0083_S025_DM44_LP_sc8_T0_D_1_Slot1-34.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM45	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_sc8	LP expression strain	20 min	9271_MOL0084_S036_DM45_LP_sc8_T20_A_1_Slot1-45	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9271_MOL0084_S036_DM45_LP_sc8_T20_A_1_Slot1-45.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM46	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_sc8	LP expression strain	20 min	9234_MOL0097_S003_DM46_LP_sc8_T20_B_1_Slot1-12	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9234_MOL0097_S003_DM46_LP_sc8_T20_B_1_Slot1-12.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM47	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_sc8	LP expression strain	20 min	9245_MOL0083_S013_DM47_LP_sc8_T20_C_1_Slot1-22	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9245_MOL0083_S013_DM47_LP_sc8_T20_C_1_Slot1-22.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM48	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_sc8	LP expression strain	20 min	9294_MOL0084_S055_DM48_LP_sc8_T20_D_1_Slot2-46	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9294_MOL0084_S055_DM48_LP_sc8_T20_D_1_Slot2-46.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM49	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_sc8	LP expression strain	45 min	9236_MOL0097_S005_DM49_LP_sc8_T45_A_1_Slot1-14	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9236_MOL0097_S005_DM49_LP_sc8_T45_A_1_Slot1-14.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM50	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_sc8	LP expression strain	45 min	9292_MOL0084_S054_DM50_LP_sc8_T45_B_1_Slot2-45	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9292_MOL0084_S054_DM50_LP_sc8_T45_B_1_Slot2-45.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM51	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_sc8	LP expression strain	45 min	9253_MOL0083_S019_DM51_LP_sc8_T45_C_1_Slot1-28	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9253_MOL0083_S019_DM51_LP_sc8_T45_C_1_Slot1-28.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM52	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_sc8	LP expression strain	45 min	9250_MOL0083_S018_DM52_LP_sc8_T45_D_1_Slot1-27	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9250_MOL0083_S018_DM52_LP_sc8_T45_D_1_Slot1-27.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM53	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_sc8	LP expression strain	70 min	9257_MOL0083_S023_DM53_LP_sc8_T70_A_1_Slot1-32	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9257_MOL0083_S023_DM53_LP_sc8_T70_A_1_Slot1-32.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM54	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_sc8	LP expression strain	70 min	9266_MOL0102_S031_DM54_LP_sc8_T70_B_1_Slot1-40	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9266_MOL0102_S031_DM54_LP_sc8_T70_B_1_Slot1-40.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM55	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_sc8	LP expression strain	70 min	9261_MOL0103_S027_DM55_LP_sc8_T70_C_1_Slot1-36	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9261_MOL0103_S027_DM55_LP_sc8_T70_C_1_Slot1-36.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM56	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_sc8	LP expression strain	70 min	9239_MOL0083_S008_DM56_LP_sc8_T70_D_1_Slot1-17	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9239_MOL0083_S008_DM56_LP_sc8_T70_D_1_Slot1-17.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
