source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[strain/genotype]	characteristics[expression construct]	characteristics[time]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
DM12	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	non-expression strain	0 min	9278_MOL0084_S041_DM12_Neg_LD10_T0_D_1_Slot1-50	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9278_MOL0084_S041_DM12_Neg_LD10_T0_D_1_Slot1-50.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM13	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	non-expression strain	20 min	9258_MOL0083_S024_DM13_Neg_LD10_T20_A_1_Slot1-33	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9258_MOL0083_S024_DM13_Neg_LD10_T20_A_1_Slot1-33.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM14	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	non-expression strain	20 min	9244_MOL0083_S012_DM14_Neg_LD10_T20_B_1_Slot1-21	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9244_MOL0083_S012_DM14_Neg_LD10_T20_B_1_Slot1-21.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM15	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_LD10	non-expression strain	20 min	9270_MOL0102_S035_DM15_Neg_LD10_T20_C_1_Slot1-44	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9270_MOL0102_S035_DM15_Neg_LD10_T20_C_1_Slot1-44.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM16	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	non-expression strain	20 min	9265_MOL0094_S030_DM16_Neg_LD10_T20_D_1_Slot1-39	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9265_MOL0094_S030_DM16_Neg_LD10_T20_D_1_Slot1-39.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM17	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	non-expression strain	45 min	9290_MOL0084_S052_DM17_Neg_LD10_T45_A_1_Slot2-43	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9290_MOL0084_S052_DM17_Neg_LD10_T45_A_1_Slot2-43.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM18	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	non-expression strain	45 min	9232_MOL0097_S001_DM18_Neg_LD10_T45_B_1_Slot1-10	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9232_MOL0097_S001_DM18_Neg_LD10_T45_B_1_Slot1-10.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM19	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_LD10	non-expression strain	45 min	9276_MOL0084_S039_DM19_Neg_LD10_T45_C_1_Slot1-48	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9276_MOL0084_S039_DM19_Neg_LD10_T45_C_1_Slot1-48.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM20	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	non-expression strain	45 min	9284_MOL0084_S046_DM20_Neg_LD10_T45_D_1_Slot2-37	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9284_MOL0084_S046_DM20_Neg_LD10_T45_D_1_Slot2-37.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM21	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	non-expression strain	70 min	9260_MOL0083_S026_DM21_Neg_LD10_T70_A_1_Slot1-35	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9260_MOL0083_S026_DM21_Neg_LD10_T70_A_1_Slot1-35.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
