source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
gal-1-30min-1	Mus musculus	B cell	not applicable	not available	1	gal-1-30min-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	gal-1-30min-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/gal-1-30min-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
Notreat-2	Mus musculus	B cell	not applicable	not available	2	Notreat-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Notreat-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/Notreat-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
Igm30min-1	Mus musculus	B cell	not applicable	not available	1	Igm30min-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Igm30min-1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/Igm30min-1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
gal-1-10min-2	Mus musculus	B cell	not applicable	not available	2	gal-1-10min-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	gal-1-10min-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/gal-1-10min-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
Igm10min-2	Mus musculus	B cell	not applicable	not available	2	Igm10min-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Igm10min-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/Igm10min-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
Notreat-3	Mus musculus	B cell	not applicable	not available	3	Notreat-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Notreat-3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/Notreat-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
gal-1-10min-1	Mus musculus	B cell	not applicable	not available	1	gal-1-10min-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	gal-1-10min-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/gal-1-10min-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
gal-1-30min-3	Mus musculus	B cell	not applicable	not available	3	gal-1-30min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	gal-1-30min-3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/gal-1-30min-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
Igm30min-3	Mus musculus	B cell	not applicable	not available	3	Igm30min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Igm30min-3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/Igm30min-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
gal-1-10min-3	Mus musculus	B cell	not applicable	not available	3	gal-1-10min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	gal-1-10min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/gal-1-10min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
Igm30min-2	Mus musculus	B cell	not applicable	not available	2	Igm30min-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Igm30min-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/Igm30min-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
gal-1-30min-2	Mus musculus	B cell	not applicable	not available	2	gal-1-30min-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	gal-1-30min-2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/gal-1-30min-2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
Igm10min-3	Mus musculus	B cell	not applicable	not available	3	Igm10min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Igm10min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD000762/Igm10min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
