source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[material type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[biological replicate]	factor value[sample group]
120218_ZSJ_SILAC_Secretome_A_01	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	1	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	1	A
120218_ZSJ_SILAC_Secretome_A_02	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	2	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2	A
120218_ZSJ_SILAC_Secretome_A_03	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	3	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	3	A
120218_ZSJ_SILAC_Secretome_A_04	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	4	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	4	A
120218_ZSJ_SILAC_Secretome_A_05	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	5	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	5	A
120218_ZSJ_SILAC_Secretome_A_06	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	6	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	6	A
120218_ZSJ_SILAC_Secretome_A_07	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	7	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7	A
120218_ZSJ_SILAC_Secretome_A_08	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	8	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_08.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	8	A
120218_ZSJ_SILAC_Secretome_A_09	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	9	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_09.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	9	A
120218_ZSJ_SILAC_Secretome_A_10	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	10	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_A_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_A_10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	10	A
120218_ZSJ_SILAC_Secretome_B_01	Homo sapiens	not available	not available	MDA-MB-231	CVCL_0062	cell line	1	not available	not available	female	not available	120218_ZSJ_SILAC_Secretome_B_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SILAC;AC=PRIDE:0000315	NT=LTQ FT;AC=MS:1000448	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Label:13C(6);TA=K;MT=Variable;AC=UNIMOD:188	NT=Label:13C(6);TA=R;MT=Variable;AC=UNIMOD:188	1	1	120218_ZSJ_SILAC_Secretome_B_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	1	B
