source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]
Citrine_IP_r2	Marchantia polymorpha	thallus	plant cell	normal	not available	free Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	2	Citrine_13	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Citrine_13.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	free Citrine transgenic
Citrine_IP_r2	Marchantia polymorpha	thallus	plant cell	normal	not available	free Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	2	Citrine_14	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2	1	Citrine_14.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	free Citrine transgenic
Citrine_IP_r2	Marchantia polymorpha	thallus	plant cell	normal	not available	free Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	2	Citrine_15	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	3	1	Citrine_15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	free Citrine transgenic
Citrine_IP_r1	Marchantia polymorpha	thallus	plant cell	normal	not available	free Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	1	Citrine_4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Citrine_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	free Citrine transgenic
Citrine_IP_r1	Marchantia polymorpha	thallus	plant cell	normal	not available	free Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	1	Citrine_5	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2	1	Citrine_5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	free Citrine transgenic
Citrine_IP_r1	Marchantia polymorpha	thallus	plant cell	normal	not available	free Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	1	Citrine_6	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	3	1	Citrine_6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	free Citrine transgenic
Mpphot-Citrine_IP_r2	Marchantia polymorpha	thallus	plant cell	normal	not available	Mpphot-Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	2	Mpphot-Citrine_16	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Mpphot-Citrine_16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Mpphot-Citrine transgenic
Mpphot-Citrine_IP_r2	Marchantia polymorpha	thallus	plant cell	normal	not available	Mpphot-Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	2	Mpphot-Citrine_17	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2	1	Mpphot-Citrine_17.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Mpphot-Citrine transgenic
Mpphot-Citrine_IP_r2	Marchantia polymorpha	thallus	plant cell	normal	not available	Mpphot-Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	2	Mpphot-Citrine_18	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	3	1	Mpphot-Citrine_18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Mpphot-Citrine transgenic
Mpphot-Citrine_IP_r1	Marchantia polymorpha	thallus	plant cell	normal	not available	Mpphot-Citrine transgenic	7-day gemmalings (PRIDE protocol); growth medium not specified in PRIDE	GFP/Citrine immunoprecipitation (untreated plants)	organism part	study sample	1	Mpphot-Citrine_7	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Mpphot-Citrine_7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Mpphot-Citrine transgenic
