source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[experiment]	comment[ptm]
CE3_2024Jul31_05_P24-095_CS4.raw	Mus musculus	spleen	lymphocyte	Cryopreservation	not available	6W-8W	male	1	n/a	1	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2024Jul31_05_P24-095_CS4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
CE3_2024Jul31_07_P24-095_CS5.raw	Mus musculus	spleen	lymphocyte	Control	not available	6W-8W	male	1	n/a	1	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2024Jul31_07_P24-095_CS5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
CE3_2024Jul31_09_P24-095_CS6.raw	Mus musculus	spleen	lymphocyte	Cryopreservation	not available	6W-8W	male	2	n/a	2	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2024Jul31_09_P24-095_CS6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
CE3_2024Jul31_11_P24-095_CS7.raw	Mus musculus	spleen	lymphocyte	Control	not available	6W-8W	male	2	n/a	2	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2024Jul31_11_P24-095_CS7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
CE3_2025Apr04_P25-047_UIC_Lee_CS8_2ul.raw	Mus musculus	spleen	lymphocyte	Cryopreservation	not available	6W-8W	male	3	n/a	3	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2025Apr04_P25-047_UIC_Lee_CS8_2ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
CE3_2025Apr04_P25-047_UIC_Lee_CS9_2ul.raw	Mus musculus	spleen	lymphocyte	Control	not available	6W-8W	male	3	n/a	3	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2025Apr04_P25-047_UIC_Lee_CS9_2ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
CE3_2025Apr04_P25-047_UIC_Lee_CS10_2ul.raw	Mus musculus	spleen	lymphocyte	Cryopreservation	not available	6W-8W	male	4	n/a	4	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2025Apr04_P25-047_UIC_Lee_CS10_2ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
CE3_2025Apr04_P25-047_UIC_Lee_CS11_2ul.raw	Mus musculus	spleen	lymphocyte	Control	not available	6W-8W	male	4	n/a	4	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2025Apr04_P25-047_UIC_Lee_CS11_2ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
CE3_2025Apr04_P25-047_UIC_Lee_CS12_2ul.raw	Mus musculus	spleen	lymphocyte	Cryopreservation	not available	6W-8W	male	5	n/a	5	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2025Apr04_P25-047_UIC_Lee_CS12_2ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
CE3_2025Apr04_P25-047_UIC_Lee_CS13_2ul.raw	Mus musculus	spleen	lymphocyte	Control	not available	6W-8W	male	5	n/a	5	CE3_2025Apr04_P25-047	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028; NT= Orbitrap Exploris 480	NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35; NT=Acetylation;MT=Variable;AC=UNIMOD:1	10 ppm	0.02 Da	1	1	CE3_2025Apr04_P25-047_UIC_Lee_CS13_2ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	3
