source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[pooled sample]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
MB_57	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0559	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0559	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
MB_58	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0560	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0560	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
MB_66	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0561	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0561	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
ABC_57	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0543	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0543	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
ABC_58	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0544	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0544	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
ABC_65	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0545	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0545	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
ABC_66	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0546	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0546	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
HCl_57	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0547	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0547	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
HCl_58	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0548	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0548	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
HCl_65	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0549	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0549	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
