source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
OGT_KO_BR1_4	Mus musculus	Cell culture	not applicable	not available	4	OGT_KO_BR1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR1_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OGT_KO_BR3_pSTY_8	Mus musculus	Cell culture	not applicable	not available	8	OGT_KO_BR3_pSTY_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR3_pSTY_8.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR3_pSTY_8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OGT_KO_BR1_6	Mus musculus	Cell culture	not applicable	not available	6	OGT_KO_BR1_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR1_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OGT_KO_BR3_pSTY_2	Mus musculus	Cell culture	not applicable	not available	2	OGT_KO_BR3_pSTY_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR3_pSTY_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR3_pSTY_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OGT_KO_BR2_2	Mus musculus	Cell culture	not applicable	not available	2	OGT_KO_BR2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OGT_KO_BR3_7	Mus musculus	Cell culture	not applicable	not available	7	OGT_KO_BR3_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR3_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR3_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OGT_KO_BR2_pSTY_16	Mus musculus	Cell culture	not applicable	not available	16	OGT_KO_BR2_pSTY_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR2_pSTY_16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR2_pSTY_16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OGT_KO_BR1_pSTY_14	Mus musculus	Cell culture	not applicable	not available	14	OGT_KO_BR1_pSTY_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR1_pSTY_14.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR1_pSTY_14.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OGT_KO_BR2_6	Mus musculus	Cell culture	not applicable	not available	6	OGT_KO_BR2_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR2_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OGT_KO_BR3_pSTY_6	Mus musculus	Cell culture	not applicable	not available	6	OGT_KO_BR3_pSTY_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	OGT_KO_BR3_pSTY_6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001153/OGT_KO_BR3_pSTY_6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
