source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
FIRE-WT_B	Nicotiana benthamiana	leaf	not applicable	normal	not available	not available	not available	transient expression of FIRE-WT FLAG-mTFP1	tissue	study sample	not pooled	1	immunoprecipitation	P706_FIRE_WT_7B	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	P706_FIRE_WT_7B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	transient expression of FIRE-WT FLAG-mTFP1
FIRE-WT_M	Nicotiana benthamiana	leaf	not applicable	normal	not available	not available	not available	transient expression of FIRE-WT FLAG-mTFP1	tissue	study sample	not pooled	2	immunoprecipitation	P706_FIRE_WT_7M	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	P706_FIRE_WT_7M.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	transient expression of FIRE-WT FLAG-mTFP1
FIRE-WT_T	Nicotiana benthamiana	leaf	not applicable	normal	not available	not available	not available	transient expression of FIRE-WT FLAG-mTFP1	tissue	study sample	not pooled	3	immunoprecipitation	P706_FIRE_WT_7T	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	P706_FIRE_WT_7T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	transient expression of FIRE-WT FLAG-mTFP1
FIRE-S87A_B	Nicotiana benthamiana	leaf	not applicable	normal	not available	not available	not available	transient expression of FIRE-S87A FLAG-mTFP1	tissue	study sample	not pooled	1	immunoprecipitation	P706_FIRE_SB7A_AB	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	P706_FIRE_SB7A_AB.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	transient expression of FIRE-S87A FLAG-mTFP1
FIRE-S87A_M	Nicotiana benthamiana	leaf	not applicable	normal	not available	not available	not available	transient expression of FIRE-S87A FLAG-mTFP1	tissue	study sample	not pooled	2	immunoprecipitation	P706_FIRE_SB7A_AM	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	P706_FIRE_SB7A_AM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	transient expression of FIRE-S87A FLAG-mTFP1
FIRE-S87A_T	Nicotiana benthamiana	leaf	not applicable	normal	not available	not available	not available	transient expression of FIRE-S87A FLAG-mTFP1	tissue	study sample	not pooled	3	immunoprecipitation	P706_FIRE_SB7A_AT	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	P706_FIRE_SB7A_AT.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	transient expression of FIRE-S87A FLAG-mTFP1
