source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]
sample_1	sarcoptes scabiei	excretion	1	scabies	tissue	not available	Sarcoptes scabiei	190403_Tao_1-1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD016925/190403_Tao_1-1.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
sample_2	sarcoptes scabiei	excretion	2	scabies	tissue	not available	Sarcoptes scabiei	190403_Tao_1-2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD016925/190403_Tao_1-2.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
sample_3	sarcoptes scabiei	excretion	3	scabies	tissue	not available	Sarcoptes scabiei	190403_Tao_1-3.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD016925/190403_Tao_1-3.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
sample_4	sarcoptes scabiei	excretion	4	scabies	tissue	not available	Sarcoptes scabiei	190403_Tao_1-4.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD016925/190403_Tao_1-4.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
sample_5	sarcoptes scabiei	excretion	5	scabies	tissue	not available	Sarcoptes scabiei	190403_Tao_1-5.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD016925/190403_Tao_1-5.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
