source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[biological replicate]	characteristics[sample type]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[sample type]
PXD054815-sample-1	Homo sapiens	uterine cervix	cervical adenocarcinoma	not available	HeLa	CVCL_0030	HeLa	cell line	not available	female	not available	not available	1	negative control	PXD054815-run-1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	5 ppm	30 mmu	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	1	1	QEHF_210301_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	negative control
PXD054815-sample-2	Homo sapiens	uterine cervix	cervical adenocarcinoma	not available	HeLa	CVCL_0030	HeLa	cell line	not available	female	not available	not available	1	study sample	PXD054815-run-2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	5 ppm	30 mmu	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	1	1	QEHF_210301_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	study sample
