source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[experimental condition]
iMAC-CT-1-GLU	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	1	20804	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20804_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CT-GLU
iMAC-CT-1-SCR	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	2	20793	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20793_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CT-SCR
iMAC-CT-2-GLU	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	3	20794	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20794_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CT-GLU
iMAC-CT-2-SCR	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	4	20795	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20795_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CT-SCR
iMAC-FACS-1-GLU	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	5	20796	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20796_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	FACS-GLU
iMAC-FACS-1-SCR	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	6	20797	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20797_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	FACS-SCR
iMAC-FACS-2-GLU	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	7	20798	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20798_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	FACS-GLU
iMAC-FACS-2-SCR	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	8	20799	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20799_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	FACS-SCR
iMAC-PA-1-GLU	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	9	20800	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20800_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	PA-GLU
iMAC-PA-1-SCR	NT=Mus musculus;AC=NCBITaxon:10090	Bone marrow	Bone marrow derived macrophages	not applicable	not available	10	20801	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003028;NT=Orbitrap Exploris 480	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	1	1	251202_Cosentino_20801_130min_6ul	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	PA-SCR
