source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[developmental stage]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[sampling time]
sample-1	Mus musculus	small intestine	enterocyte	1	not pooled	normal	cell	1 day	not available	not available	210225_QExHF_SJ_MS746_1	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1 day
sample-1	Mus musculus	small intestine	enterocyte	1	not pooled	normal	cell	1 day	not available	not available	210225_QExHF_SJ_MS746_1_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1 day
sample-2	Mus musculus	small intestine	enterocyte	2	not pooled	normal	cell	1 day	not available	not available	210225_QExHF_SJ_MS746_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1 day
sample-2	Mus musculus	small intestine	enterocyte	2	not pooled	normal	cell	1 day	not available	not available	210225_QExHF_SJ_MS746_2_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1 day
sample-3	Mus musculus	small intestine	enterocyte	3	not pooled	normal	cell	1 day	not available	not available	210225_QExHF_SJ_MS746_3	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1 day
sample-3	Mus musculus	small intestine	enterocyte	3	not pooled	normal	cell	1 day	not available	not available	210225_QExHF_SJ_MS746_3_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1 day
sample-4	Mus musculus	small intestine	enterocyte	1	not pooled	normal	cell	5 day	not available	not available	210225_QExHF_SJ_MS746_4	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	5 day
sample-4	Mus musculus	small intestine	enterocyte	1	not pooled	normal	cell	5 day	not available	not available	210225_QExHF_SJ_MS746_4_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	5 day
sample-5	Mus musculus	small intestine	enterocyte	1	not pooled	normal	cell	10 day	not available	not available	210225_QExHF_SJ_MS746_5	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 day
sample-5	Mus musculus	small intestine	enterocyte	1	not pooled	normal	cell	10 day	not available	not available	210225_QExHF_SJ_MS746_5_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_5_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 day
sample-6	Mus musculus	small intestine	enterocyte	2	not pooled	normal	cell	10 day	not available	not available	210225_QExHF_SJ_MS746_6	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 day
sample-6	Mus musculus	small intestine	enterocyte	2	not pooled	normal	cell	10 day	not available	not available	210225_QExHF_SJ_MS746_6_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_6_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 day
sample-7	Mus musculus	small intestine	enterocyte	2	not pooled	normal	cell	5 day	not available	not available	210225_QExHF_SJ_MS746_7	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	5 day
sample-7	Mus musculus	small intestine	enterocyte	2	not pooled	normal	cell	5 day	not available	not available	210225_QExHF_SJ_MS746_7_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_7_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	5 day
