source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[ms min im]	comment[ms max im]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]	factor value[genotype]
WT_S0_r1	Homo sapiens	not applicable	hiPSC cell	normal	cell	not available	not available	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S1_A1_1_7778	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S1_A1_1_7778.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	hiPSC cell	wild type
WT_S0_r2	Homo sapiens	not applicable	hiPSC cell	normal	cell	not available	not available	2	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S2_A2_1_7779	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S2_A2_1_7779.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	hiPSC cell	wild type
WT_S0_r3	Homo sapiens	not applicable	hiPSC cell	normal	cell	not available	not available	3	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S3_A3_1_7780	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S3_A3_1_7780.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	hiPSC cell	wild type
MUT_S0_r1	Homo sapiens	not applicable	hiPSC cell	normal	cell	not available	not available	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S4_A4_1_7781	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S4_A4_1_7781.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	hiPSC cell	HNF1A p.Pro291fsinsC
MUT_S0_r2	Homo sapiens	not applicable	hiPSC cell	normal	cell	not available	not available	2	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S5_A5_1_7782	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S5_A5_1_7782.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	hiPSC cell	HNF1A p.Pro291fsinsC
MUT_S0_r3	Homo sapiens	not applicable	hiPSC cell	normal	cell	not available	not available	3	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S6_A6_1_7783	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S6_A6_1_7783.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	hiPSC cell	HNF1A p.Pro291fsinsC
WT_S4_r1	Homo sapiens	not applicable	progenitor cell of endocrine pancreas	normal	cell	not available	not available	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S7_A7_1_7784	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S7_A7_1_7784.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	progenitor cell of endocrine pancreas	wild type
WT_S4_r2	Homo sapiens	not applicable	progenitor cell of endocrine pancreas	normal	cell	not available	not available	2	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S8_A8_1_7785	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S8_A8_1_7785.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	progenitor cell of endocrine pancreas	wild type
WT_S4_r3	Homo sapiens	not applicable	progenitor cell of endocrine pancreas	normal	cell	not available	not available	3	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S9_A9_1_7786	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S9_A9_1_7786.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	progenitor cell of endocrine pancreas	wild type
MUT_S4_r1	Homo sapiens	not applicable	progenitor cell of endocrine pancreas	normal	cell	not available	not available	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S10_A10_1_7787	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	400	1201	25	0.6	1.43	1	1	20230601_TIMS5_PRI_nLC1_AUR3_25cm_X870_P244_R771_101min_DIA_S10_A10_1_7787.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	progenitor cell of endocrine pancreas	HNF1A p.Pro291fsinsC
