source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD052976-Sample-1	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CF05_1-8uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CF05_1-8uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD052976-Sample-2	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CF06_2-2uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CF06_2-2uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD052976-Sample-3	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CF07_1-8uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CF07_1-8uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD052976-Sample-4	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CF08_1-5uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CF08_1-5uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD052976-Sample-5	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CF09_1-8uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CF09_1-8uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD052976-Sample-6	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CF10_1-9uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CF10_1-9uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD052976-Sample-7	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CS01_1-9uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CS01_1-9uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD052976-Sample-8	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CS02_1-7uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CS02_1-7uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD052976-Sample-9	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CS03_1-5uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CS03_1-5uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD052976-Sample-10	Rattus norvegicus	heart	not available	not available	1	PLK232_OE480_240426_FGU13_CS04_1-7uL_DIA-FAIMS_120M_90G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PLK232_OE480_240426_FGU13_CS04_1-7uL_DIA-FAIMS_120M_90G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
