source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set1_frac7	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set1_frac7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	7	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set1_frac7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set1_frac7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac13	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	13	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set2_frac13	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set2_frac13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	13	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set2_frac13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set2_frac13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac8	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	8	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction2	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac5	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	5	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set3_frac5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set2_frac2	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set2_frac2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	2	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set2_frac2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set2_frac2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction12	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set1_frac12	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set1_frac12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	12	1	SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set1_frac12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP_TiO2_ERLIC120513_direct_5uL_set1_frac12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction4	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001560/SS_WM239A_FASP120213_TotalProtein_Set3_4ug_18step_20140121_velo_fraction4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
