source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[model]	characteristics[host organism]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[experimental condition]
WT-Veh CKG-29326	Homo sapiens	tumor	breast cancer cell	MDA-MB-231	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	1	21572	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21572_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4WT
WT-Veh CKG-29327	Homo sapiens	tumor	breast cancer cell	MDA-MB-232	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	2	21573	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21573_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4WT
WT-Veh CKG-29322	Homo sapiens	tumor	breast cancer cell	MDA-MB-233	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	3	21574	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21574_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4WT
WT-Veh CKG-29335	Homo sapiens	tumor	breast cancer cell	MDA-MB-234	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	4	21575	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21575_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4WT
WT-Veh CKG-29357	Homo sapiens	tumor	breast cancer cell	MDA-MB-235	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	5	21576	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21576_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4WT
KO-Veh CKG-29279	Homo sapiens	tumor	breast cancer cell	MDA-MB-236	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	6	21577	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21577_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4KO
KO-Veh CKG-29281	Homo sapiens	tumor	breast cancer cell	MDA-MB-237	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	7	21578	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21578_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4KO
KO-Veh CKG-29341	Homo sapiens	tumor	breast cancer cell	MDA-MB-238	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	8	21579	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21579_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4KO
KO-Veh CKG-29342	Homo sapiens	tumor	breast cancer cell	MDA-MB-239	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	9	21580	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21580_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4KO
KO-Veh CKG-29343	Homo sapiens	tumor	breast cancer cell	MDA-MB-240	xenograft	Mus musculus	not applicable	not applicable	not applicable	breast cancer	10	21581	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	260522_Parashar_21581_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	CDK4KO
