source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
9MM_FASP	9MM_FASP	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	9MM_FASP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	9MM_FASP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
9MM_PPID	9MM_PPID	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	9MM_PPID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	9MM_PPID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20151119_IBD_HM403_CO_151120170141	Xu_20151119_IBD_HM403_CO_151120170141	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	Xu_20151119_IBD_HM403_CO_151120170141	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20151119_IBD_HM403_CO_151120170141.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20151119_IBD_HM415_CO	Xu_20151119_IBD_HM415_CO	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	Xu_20151119_IBD_HM415_CO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20151119_IBD_HM415_CO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20151119_IBD_HM454_CO_151207024456	Xu_20151119_IBD_HM454_CO_151207024456	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	Xu_20151119_IBD_HM454_CO_151207024456	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20151119_IBD_HM454_CO_151207024456.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20151119_IBD_HM455_CO_151205152342	Xu_20151119_IBD_HM455_CO_151205152342	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	Xu_20151119_IBD_HM455_CO_151205152342	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20151119_IBD_HM455_CO_151205152342.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20151119_IBD_HM466_CO_151204032959	Xu_20151119_IBD_HM466_CO_151204032959	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	Xu_20151119_IBD_HM466_CO_151204032959	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20151119_IBD_HM466_CO_151204032959.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20151119_IBD_HM467_CO_151204160652	Xu_20151119_IBD_HM467_CO_151204160652	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	Xu_20151119_IBD_HM467_CO_151204160652	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20151119_IBD_HM467_CO_151204160652.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20151119_IBD_HM494_CO	Xu_20151119_IBD_HM494_CO	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	Xu_20151119_IBD_HM494_CO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20151119_IBD_HM494_CO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20151119_IBD_HM503_CO_151202195424	Xu_20151119_IBD_HM503_CO_151202195424	Human gut metagenome	not available	not applicable	not available	MetaNovo_an_open-source_pipeline_for_probabilistic_peptide_discovery_in_complex_metaproteomic_datasets	not available	not available	not available	not available	not available	not available	1	Xu_20151119_IBD_HM503_CO_151202195424	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20151119_IBD_HM503_CO_151202195424.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
