source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Ecoli_Rep2_Fr4	Escherichia coli	membrane vesicles	not available	2	not available	Ecoli_Rep2_Fr4	proteomic profiling by mass spectrometry	1	Zelda_190608_P0960_MR_AS_membranes_rep2_TMT11_fr4.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	4	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Ecoli_Rep2_Fr12	Escherichia coli	membrane vesicles	not available	2	not available	Ecoli_Rep2_Fr12	proteomic profiling by mass spectrometry	1	Zelda_190608_P0960_MR_AS_membranes_rep2_TMT11_fr12.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	12	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Ecoli_Rep2_Fr1	Escherichia coli	membrane vesicles	not available	2	not available	Ecoli_Rep2_Fr1	proteomic profiling by mass spectrometry	1	Zelda_190608_P0960_MR_AS_membranes_rep2_TMT11_fr1.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	1	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Ecoli_Rep2_Fr2	Escherichia coli	membrane vesicles	not available	2	not available	Ecoli_Rep2_Fr2	proteomic profiling by mass spectrometry	1	Zelda_190608_P0960_MR_AS_membranes_rep2_TMT11_fr2.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	2	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Ecoli_Rep2_Fr8	Escherichia coli	membrane vesicles	not available	2	not available	Ecoli_Rep2_Fr8	proteomic profiling by mass spectrometry	1	Zelda_190608_P0960_MR_AS_membranes_rep2_TMT11_fr8.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	8	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Ecoli_Rep2_Fr5	Escherichia coli	membrane vesicles	not available	2	not available	Ecoli_Rep2_Fr5	proteomic profiling by mass spectrometry	1	Zelda_190608_P0960_MR_AS_membranes_rep2_TMT11_fr5.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	5	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Ecoli_Rep1_Fr6	Escherichia coli	membrane vesicles	not available	1	not available	Ecoli_Rep1_Fr6	proteomic profiling by mass spectrometry	1	Zelda_190426_P0910_MR_AS_MembraneFraction_fr6.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	6	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Ecoli_Rep2_Fr3	Escherichia coli	membrane vesicles	not available	2	not available	Ecoli_Rep2_Fr3	proteomic profiling by mass spectrometry	1	Zelda_190608_P0960_MR_AS_membranes_rep2_TMT11_fr3.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	3	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Ecoli_Rep1_Fr1	Escherichia coli	membrane vesicles	not available	1	not available	Ecoli_Rep1_Fr1	proteomic profiling by mass spectrometry	1	Zelda_190426_P0910_MR_AS_MembraneFraction_fr1.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	1	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Ecoli_Rep1_Fr3	Escherichia coli	membrane vesicles	not available	1	not available	Ecoli_Rep1_Fr3	proteomic profiling by mass spectrometry	1	Zelda_190426_P0910_MR_AS_MembraneFraction_fr3.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=TMT10plex	3	data-dependent MS/MS	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
