source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[FILL]
20181011_SWATH_17_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181011_SWATH_17_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181011_SWATH_17_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20181011_SWATH_19_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181011_SWATH_19_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181011_SWATH_19_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20181011_SWATH_22_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181011_SWATH_22_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181011_SWATH_22_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20181011_SWATH_23_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181011_SWATH_23_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181011_SWATH_23_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20181011_SWATH_24_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181011_SWATH_24_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181011_SWATH_24_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20181011_SWATH_26_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181011_SWATH_26_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181011_SWATH_26_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20181011_SWATH_27_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181011_SWATH_27_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181011_SWATH_27_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20181011_SWATH_3_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181011_SWATH_3_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181011_SWATH_3_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20181012_SWATH_10_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181012_SWATH_10_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181012_SWATH_10_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20181012_SWATH_12_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	Homo sapiens	Breast cancer cell	FILL:disease	FILL:biological replicate	20181012_SWATH_12_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	FILL:cleavage agent details	1	1	20181012_SWATH_12_CM_C18_15cm_150min_5uLmin_5-30B_4uLiny.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
