source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms min mz]	comment[ms max mz]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[treatment]
sample 1	Homo sapiens	umbilical cord blood	erythroid progenitor cell	1	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_1_20200831131931	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_1_20200831131931.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 2	Homo sapiens	umbilical cord blood	erythroid progenitor cell	2	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_2	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 3	Homo sapiens	umbilical cord blood	erythroid progenitor cell	3	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_3	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 4	Homo sapiens	umbilical cord blood	erythroid progenitor cell	4	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_4	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 5	Homo sapiens	umbilical cord blood	erythroid progenitor cell	5	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_5	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 6	Homo sapiens	umbilical cord blood	erythroid progenitor cell	6	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_6	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 7	Homo sapiens	umbilical cord blood	erythroid progenitor cell	7	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_7	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 8	Homo sapiens	umbilical cord blood	erythroid progenitor cell	8	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_8	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 9	Homo sapiens	umbilical cord blood	erythroid progenitor cell	9	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_9	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 10	Homo sapiens	umbilical cord blood	erythroid progenitor cell	10	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_10	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
