source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[cell line]
K562_A2	Homo sapiens	bone marrow	not applicable	K-562	CVCL_0004	K-562	chronic myeloid leukemia	cell	adult	53Y	female	not available	MHC class I protein complex	immunoaffinity purification	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Methyl;AC=UNIMOD:34;TA=D,E;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	16may19_KEM_K562A2_IMAC_Hootenanny_Fusion.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=immunopeptidomics;VV=v1.0.0	chronic myeloid leukemia	K-562
FaDu	Homo sapiens	hypopharynx	epithelial cell	FaDu	CVCL_1218	FaDu	hypopharynx squamous cell carcinoma	cell	adult	56Y	male	not available	MHC class I protein complex	immunoaffinity purification	1	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Methyl;AC=UNIMOD:34;TA=D,E;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	17jun19_KEM_FaDu_NTAIMAC_Yeet_Fusion.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=immunopeptidomics;VV=v1.0.0	hypopharynx squamous cell carcinoma	FaDu
K562_B7	Homo sapiens	bone marrow	not applicable	K-562	CVCL_0004	K-562	chronic myeloid leukemia	cell	adult	53Y	female	not available	MHC class I protein complex	immunoaffinity purification	1	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Methyl;AC=UNIMOD:34;TA=D,E;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	1jul19_KEM_K562B7_IMAC_Yeet_Fusion.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=immunopeptidomics;VV=v1.0.0	chronic myeloid leukemia	K-562
COLO205	Homo sapiens	large intestine	epithelial cell	COLO 205	CVCL_0218	COLO 205	colon carcinoma	cell	adult	70Y	male	not available	MHC class I protein complex	immunoaffinity purification	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Methyl;AC=UNIMOD:34;TA=D,E;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20jun18_KEM_colo205m_NTA_Fusion.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=immunopeptidomics;VV=v1.0.0	colon carcinoma	COLO 205
AVL3-MEL	Homo sapiens	skin	not applicable	AVL3-MEL	CVCL_VU91	AVL3-MEL	melanoma	cell	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	1	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Methyl;AC=UNIMOD:34;TA=D,E;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	22mar20_KEM_AVL3_IMAC_Razz_Fusion.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=immunopeptidomics;VV=v1.0.0	melanoma	AVL3-MEL
