source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac1_velo	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac1_velo	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac1_velo.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac1_velo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_ERLIC062603_TotalProtein_Set1_5of380ul_18step_20130802_velo_fraction13	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_ERLIC062603_TotalProtein_Set1_5of380ul_18step_20130802_velo_fraction13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_ERLIC062603_TotalProtein_Set1_5of380ul_18step_20130802_velo_fraction13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_ERLIC062603_TotalProtein_Set1_5of380ul_18step_20130802_velo_fraction13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set3_frac17_velo	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set3_frac17_velo	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set3_frac17_velo.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set3_frac17_velo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac10_velo	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac10_velo	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac10_velo.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac10_velo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_ERLIC062603_TotalProtein_Set1_5of380ul_18step_20130802_velo_fraction1	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_ERLIC062603_TotalProtein_Set1_5of380ul_18step_20130802_velo_fraction1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_ERLIC062603_TotalProtein_Set1_5of380ul_18step_20130802_velo_fraction1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_ERLIC062603_TotalProtein_Set1_5of380ul_18step_20130802_velo_fraction1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_ERLIC062603_TotalProtein_Set3_5of380ul_18step_20130808_velo_fraction8	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_ERLIC062603_TotalProtein_Set3_5of380ul_18step_20130808_velo_fraction8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_ERLIC062603_TotalProtein_Set3_5of380ul_18step_20130808_velo_fraction8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_ERLIC062603_TotalProtein_Set3_5of380ul_18step_20130808_velo_fraction8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_ERLIC062603_TotalProtein_Set3_5of380ul_18step_20130808_velo_fraction5	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_ERLIC062603_TotalProtein_Set3_5of380ul_18step_20130808_velo_fraction5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_ERLIC062603_TotalProtein_Set3_5of380ul_18step_20130808_velo_fraction5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_ERLIC062603_TotalProtein_Set3_5of380ul_18step_20130808_velo_fraction5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set2_frac6_velo	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set2_frac6_velo	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set2_frac6_velo.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set2_frac6_velo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac18_velo	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac18_velo	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac18_velo.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac18_velo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac22_velo	homo sapiens	Melanocyte	not applicable	Melanoma	enrichment of phosphorylated protein	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac22_velo	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	1	1	SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac22_velo.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD001563/SS_WM239A_FASP_TiO2_ERLIC062613_direct_5uL_set1_frac22_velo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Melanocyte
