source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
JG-N2-9A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-N2-9A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N2-9A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N2-9A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-TiO2-N2-7A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-TiO2-N2-7A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-N2-7A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-N2-7A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C1-1A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-C1-1A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C1-1A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C1-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N2-5	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	5	JG-N2-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N2-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N2-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG_TiO2_C2_02A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG_TiO2_C2_02A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG_TiO2_C2_02A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG_TiO2_C2_02A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG_TiO2_C2_05A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG_TiO2_C2_05A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG_TiO2_C2_05A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG_TiO2_C2_05A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-TiO2-N2-6	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	6	JG-TiO2-N2-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-N2-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-N2-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C3-14	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	14	JG-C3-14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C3-14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C3-14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N2-3A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-N2-3A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N2-3A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N2-3A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG_TiO2_C2_01A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG_TiO2_C2_01A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG_TiO2_C2_01A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG_TiO2_C2_01A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
