source name	characteristics[organism]	characteristics[age]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[developmental stage]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
pilot 1	arabidopsis thaliana	17D	shoot tissue	normal	not available	4	not available	run 1	proteomic profiling by mass spectrometry	20231020_bsdrown_PepMap50_ArathHistones_Pilot01_DDA_01.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wildtype
pilot 2	arabidopsis thaliana	17D	shoot tissue	normal	not available	5	not available	run 2	proteomic profiling by mass spectrometry	20231020_bsdrown_PepMap50_ArathHistones_Pilot02_DDA_01.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wildtype
wildtype 1	arabidopsis thaliana	17D	shoot tissue	normal	not available	1	not available	run 3	proteomic profiling by mass spectrometry	20231031_gagreda_PepMap50_ArathHistones_WT_Prep01_DDA_01.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wildtype
hta9 hta11 1	arabidopsis thaliana	17D	shoot tissue	normal	not available	1	not available	run 4	proteomic profiling by mass spectrometry	20231031_gagreda_PepMap50_ArathHistones_dHTA9_Prep01_DDA_01.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	hta9 hta11
wildtype 1	arabidopsis thaliana	17D	shoot tissue	normal	not available	1	not available	run 5	proteomic profiling by mass spectrometry	20231031_gagreda_PepMap50_ArathHistones_WT_Prep01_DIA_02.raw	2	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-independent acquisition;AC=PRIDE:0000663	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wildtype
hta9 hta11 1	arabidopsis thaliana	17D	shoot tissue	normal	not available	1	not available	run 6	proteomic profiling by mass spectrometry	20231031_gagreda_PepMap50_ArathHistones_dHTA9_Prep01_DIA_01.raw	2	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-independent acquisition;AC=PRIDE:0000663	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	hta9 hta11
hta9 hta11 1	arabidopsis thaliana	17D	shoot tissue	normal	not available	1	not available	run 7	proteomic profiling by mass spectrometry	20231031_gagreda_PepMap50_ArathHistones_dHTA9_Prep01_DIA_02.raw	3	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-independent acquisition;AC=PRIDE:0000663	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	hta9 hta11
wildtype 2	arabidopsis thaliana	17D	shoot tissue	normal	not available	2	not available	run 8	proteomic profiling by mass spectrometry	20231206_gagreda_PepMap50_ArathHistones_WT_Prep2_DIA_01.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-independent acquisition;AC=PRIDE:0000663	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wildtype
wildtype 2	arabidopsis thaliana	17D	shoot tissue	normal	not available	2	not available	run 9	proteomic profiling by mass spectrometry	20231206_gagreda_PepMap50_ArathHistones_WT_Prep2_DIA_02.raw	2	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-independent acquisition;AC=PRIDE:0000663	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wildtype
wildtype 2	arabidopsis thaliana	17D	shoot tissue	normal	not available	2	not available	run 10	proteomic profiling by mass spectrometry	20231206_gagreda_PepMap50_ArathHistones_WT_Prep2_DIA_03.raw	3	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS_1003028	40.0 ppm	10.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Propionyl;MT=Fixed;PP=Any N-term;MM=56.02621	NT=K (lysine):56;MT=Fixed;PP=Anywhere;TA=K;MM=56.02621	NT=Data-independent acquisition;AC=PRIDE:0000663	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wildtype
