source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
bovine_heart_swath_rep3	Bos taurus	heart	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_heart_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191203_SWATH_SP833_Heart_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=heart;AC=UBERON:0000948
bovine_heart_swath_rep4	Bos taurus	heart	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_heart_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191203_SWATH_SP834_Heart_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=heart;AC=UBERON:0000948
bovine_kidney_swath_rep1	Bos taurus	kidney	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_kidney_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191204_SWATH_SP843_Kidney_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
bovine_kidney_swath_rep2	Bos taurus	kidney	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_kidney_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191204_SWATH_SP844_Kidney_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
bovine_kidney_swath_rep3	Bos taurus	kidney	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_kidney_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191204_SWATH_SP845_Kidney_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
bovine_kidney_swath_rep4	Bos taurus	kidney	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_kidney_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191204_SWATH_SP846_Kidney_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
bovine_liver_swath_rep1	Bos taurus	liver	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_liver_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191204_SWATH_SP839_Liver_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=liver;AC=UBERON:0002107
bovine_liver_swath_rep2	Bos taurus	liver	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_liver_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191204_SWATH_SP840_Liver_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=liver;AC=UBERON:0002107
bovine_liver_swath_rep3	Bos taurus	liver	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_liver_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191204_SWATH_SP841_Liver_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=liver;AC=UBERON:0002107
bovine_liver_swath_rep4	Bos taurus	liver	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_liver_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191204_SWATH_SP842_Liver_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=liver;AC=UBERON:0002107
bovine_lung_swath_rep1	Bos taurus	lung	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_lung_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191205_SWATH_SP847_Lung_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=lung;AC=UBERON:0002048
bovine_lung_swath_rep2	Bos taurus	lung	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_lung_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191205_SWATH_SP848_Lung_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=lung;AC=UBERON:0002048
bovine_lung_swath_rep3	Bos taurus	lung	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_lung_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191205_SWATH_SP849_Lung_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=lung;AC=UBERON:0002048
bovine_lung_swath_rep4	Bos taurus	lung	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_lung_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191205_SWATH_SP850_Lung_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=lung;AC=UBERON:0002048
bovine_ovary_swath_rep1	Bos taurus	ovary	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_ovary_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP891_Ovary_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
bovine_ovary_swath_rep2	Bos taurus	ovary	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_ovary_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP892_Ovary_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
bovine_ovary_swath_rep3	Bos taurus	ovary	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_ovary_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP893_Ovary_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
bovine_ovary_swath_rep4	Bos taurus	ovary	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_ovary_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP894_Ovary_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
bovine_pancreas_swath_rep1	Bos taurus	pancreas	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_pancreas_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191206_SWATH_SP859_Pancreas_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=pancreas;AC=UBERON:0001264
bovine_pancreas_swath_rep2	Bos taurus	pancreas	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_pancreas_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191206_SWATH_SP860_Pancreas_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=pancreas;AC=UBERON:0001264
bovine_pancreas_swath_rep3	Bos taurus	pancreas	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_pancreas_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191206_SWATH_SP861_Pancreas_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=pancreas;AC=UBERON:0001264
bovine_pancreas_swath_rep4	Bos taurus	pancreas	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_pancreas_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191206_SWATH_SP862_Pancreas_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=pancreas;AC=UBERON:0001264
bovine_spleen_swath_rep1	Bos taurus	spleen	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_spleen_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191205_SWATH_SP851_Spleen_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
bovine_spleen_swath_rep2	Bos taurus	spleen	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_spleen_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191205_SWATH_SP852_Spleen_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
bovine_spleen_swath_rep3	Bos taurus	spleen	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_spleen_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191205_SWATH_SP853_Spleen_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
bovine_spleen_swath_rep4	Bos taurus	spleen	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_spleen_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191205_SWATH_SP854_Spleen_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
bovine_testis_swath_rep1	Bos taurus	testis	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_testis_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP875_Testis_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=testis;AC=UBERON:0000473
bovine_testis_swath_rep2	Bos taurus	testis	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_testis_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP876_Testis_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=testis;AC=UBERON:0000473
bovine_testis_swath_rep3	Bos taurus	testis	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_testis_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP877_Testis_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=testis;AC=UBERON:0000473
bovine_testis_swath_rep4	Bos taurus	testis	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_testis_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP878_Testis_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=testis;AC=UBERON:0000473
