source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
bovine_cervix_swath_rep3	Bos taurus	uterine cervix	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_cervix_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191207_SWATH_SP865_Cervix_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=uterine cervix;AC=UBERON:0000002
bovine_cervix_swath_rep4	Bos taurus	uterine cervix	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_cervix_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191207_SWATH_SP866_Cervix_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=uterine cervix;AC=UBERON:0000002
bovine_corpus_luteum_swath_rep1	Bos taurus	corpus luteum	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_corpus_luteum_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP887_Luteum_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=corpus luteum;AC=UBERON:0002512
bovine_corpus_luteum_swath_rep2	Bos taurus	corpus luteum	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_corpus_luteum_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP888_Luteum_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=corpus luteum;AC=UBERON:0002512
bovine_corpus_luteum_swath_rep3	Bos taurus	corpus luteum	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_corpus_luteum_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP889_Luteum_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=corpus luteum;AC=UBERON:0002512
bovine_corpus_luteum_swath_rep4	Bos taurus	corpus luteum	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_corpus_luteum_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP890_Luteum_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=corpus luteum;AC=UBERON:0002512
bovine_ear_fetus_swath_rep1	Bos taurus	ear	not applicable	normal	embryo stage	not available	not available	not available	tissue	1	bovine_ear_fetus_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP871_EarlyFetus_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ear;AC=UBERON:0001690
bovine_ear_fetus_swath_rep2	Bos taurus	ear	not applicable	normal	embryo stage	not available	not available	not available	tissue	2	bovine_ear_fetus_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP872_EarlyFetus_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ear;AC=UBERON:0001690
bovine_ear_fetus_swath_rep3	Bos taurus	ear	not applicable	normal	embryo stage	not available	not available	not available	tissue	3	bovine_ear_fetus_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP873_EarlyFetus_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ear;AC=UBERON:0001690
bovine_ear_fetus_swath_rep4	Bos taurus	ear	not applicable	normal	embryo stage	not available	not available	not available	tissue	4	bovine_ear_fetus_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP874_EarlyFetus_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ear;AC=UBERON:0001690
