source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
IL260712_695_1_5ul_2	arabidopsis thaliana	leaf	not applicable	Disease free	2	IL260712_695_1_5ul_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL260712_695_1_5ul_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL260712_695_1_5ul_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
IL110712_519N	arabidopsis thaliana	leaf	not applicable	Disease free	1	IL110712_519N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL110712_519N.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL110712_519N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
IL110712_568N	arabidopsis thaliana	leaf	not applicable	Disease free	1	IL110712_568N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL110712_568N.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL110712_568N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
IL291112_640N	arabidopsis thaliana	leaf	not applicable	Disease free	1	IL291112_640N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL291112_640N.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL291112_640N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
IL141112_527N	arabidopsis thaliana	leaf	not applicable	Disease free	1	IL141112_527N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL141112_527N.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL141112_527N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
IL141112_575N	arabidopsis thaliana	leaf	not applicable	Disease free	1	IL141112_575N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL141112_575N.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL141112_575N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
IL240113_553N	arabidopsis thaliana	leaf	not applicable	Disease free	1	IL240113_553N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL240113_553N.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL240113_553N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
IL190312_510_300min_2	arabidopsis thaliana	leaf	not applicable	Disease free	2	IL190312_510_300min_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL190312_510_300min_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL190312_510_300min_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
IL190312_505_300min	arabidopsis thaliana	leaf	not applicable	Disease free	1	IL190312_505_300min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL190312_505_300min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL190312_505_300min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
IL201112_534N	arabidopsis thaliana	leaf	not applicable	Disease free	1	IL201112_534N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	IL201112_534N.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001252/IL201112_534N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
