source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[proteomics data acquisition method]	comment[fractionation method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cleavage agent details]
Sample 1	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Chymotrypsin;AC=MS:1001306	NT=Elastase;AC=MS:1001307	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_ACE_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Chymotrypsin;AC=MS:1001306|NT=Elastase;AC=MS:1001307
Sample 1	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Chymotrypsin;AC=MS:1001306	NT=Elastase;AC=MS:1001307	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_ACE_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Chymotrypsin;AC=MS:1001306|NT=Elastase;AC=MS:1001307
Sample 2	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Chymotrypsin;AC=MS:1001306	NT=Trypsin;AC=MS:1001251	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_ACT_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Chymotrypsin;AC=MS:1001306|NT=Trypsin;AC=MS:1001251
Sample 2	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Chymotrypsin;AC=MS:1001306	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_ACT_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Chymotrypsin;AC=MS:1001306|NT=Trypsin;AC=MS:1001251
Sample 3	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Elastase;AC=MS:1001307	NT=Trypsin;AC=MS:1001251	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AET_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Elastase;AC=MS:1001307|NT=Trypsin;AC=MS:1001251
Sample 3	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Elastase;AC=MS:1001307	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_AET_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Elastase;AC=MS:1001307|NT=Trypsin;AC=MS:1001251
Sample 4	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Glu-C;AC=MS:1001917	NT=Chymotrypsin;AC=MS:1001306	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AGC_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Glu-C;AC=MS:1001917|NT=Chymotrypsin;AC=MS:1001306
Sample 4	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Glu-C;AC=MS:1001917	NT=Chymotrypsin;AC=MS:1001306	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_AGC_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Glu-C;AC=MS:1001917|NT=Chymotrypsin;AC=MS:1001306
Sample 5	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Glu-C;AC=MS:1001917	NT=Elastase;AC=MS:1001307	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AGE_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Glu-C;AC=MS:1001917|NT=Elastase;AC=MS:1001307
Sample 5	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Glu-C;AC=MS:1001917	NT=Elastase;AC=MS:1001307	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_AGE_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Glu-C;AC=MS:1001917|NT=Elastase;AC=MS:1001307
