source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[sdrf template]	factor value[autophosphorylation status]
PXD082486-sample-1	Homo sapiens	not applicable	1	not applicable	not available	not available	PXD082486-run-1	proteomic profiling by mass spectrometry	QS-SAMPLE-1-20260403.raw	1	1	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	iodoacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Met-loss;AC=UNIMOD:765;TA=M;MT=Variable;PP=Protein N-term	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	before autophosphorylation
PXD082486-sample-2	Homo sapiens	not applicable	1	not applicable	not available	not available	PXD082486-run-2	proteomic profiling by mass spectrometry	QS-SAMPLE-2-20260403.raw	1	1	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	iodoacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Met-loss;AC=UNIMOD:765;TA=M;MT=Variable;PP=Protein N-term	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	after autophosphorylation
