source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample_1	Homo sapiens	whole organism	not applicable	1	not available	not available	not available	not available	not available	Assay_1	proteomic profiling by mass spectrometry	1	2010001-F1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_2	Homo sapiens	whole organism	not applicable	2	not available	not available	not available	not available	not available	Assay_2	proteomic profiling by mass spectrometry	1	1917001-F2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_3	Homo sapiens	whole organism	not applicable	3	not available	not available	not available	not available	not available	Assay_3	proteomic profiling by mass spectrometry	1	2205001-1_NC.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_4	Homo sapiens	whole organism	not applicable	1	not available	not available	not available	not available	not available	Assay_4	proteomic profiling by mass spectrometry	2	2010001-F2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_5	Homo sapiens	whole organism	not applicable	4	not available	not available	not available	not available	not available	Assay_5	proteomic profiling by mass spectrometry	1	2127001-6.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_6	Homo sapiens	whole organism	not applicable	5	not available	not available	not available	not available	not available	Assay_6	proteomic profiling by mass spectrometry	1	2127001-3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_7	Homo sapiens	whole organism	not applicable	6	not available	not available	not available	not available	not available	Assay_7	proteomic profiling by mass spectrometry	1	2139002-F6.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_8	Homo sapiens	whole organism	not applicable	7	not available	not available	not available	not available	not available	Assay_8	proteomic profiling by mass spectrometry	1	2127001-1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_9	Homo sapiens	whole organism	not applicable	8	not available	not available	not available	not available	not available	Assay_9	proteomic profiling by mass spectrometry	1	2139002-F2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_10	Homo sapiens	whole organism	not applicable	2	not available	not available	not available	not available	not available	Assay_10	proteomic profiling by mass spectrometry	2	1917001-F1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_11	Homo sapiens	whole organism	not applicable	9	not available	not available	not available	not available	not available	Assay_11	proteomic profiling by mass spectrometry	1	2119003-Q1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	11	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_12	Homo sapiens	whole organism	not applicable	10	not available	not available	not available	not available	not available	Assay_12	proteomic profiling by mass spectrometry	1	2139002-F7.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	12	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_13	Homo sapiens	whole organism	not applicable	11	not available	not available	not available	not available	not available	Assay_13	proteomic profiling by mass spectrometry	1	2010001-F3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	13	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_14	Homo sapiens	whole organism	not applicable	12	not available	not available	not available	not available	not available	Assay_14	proteomic profiling by mass spectrometry	1	2119003-Q2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	14	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_15	Homo sapiens	whole organism	not applicable	13	not available	not available	not available	not available	not available	Assay_15	proteomic profiling by mass spectrometry	1	2139002-F1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	15	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_16	Homo sapiens	whole organism	not applicable	14	not available	not available	not available	not available	not available	Assay_16	proteomic profiling by mass spectrometry	1	2139002-F4.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	16	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_17	Homo sapiens	whole organism	not applicable	15	not available	not available	not available	not available	not available	Assay_17	proteomic profiling by mass spectrometry	1	2139002-F3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	17	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_18	Homo sapiens	whole organism	not applicable	16	not available	not available	not available	not available	not available	Assay_18	proteomic profiling by mass spectrometry	1	2205001-2_12C.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	18	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_19	Homo sapiens	whole organism	not applicable	17	not available	not available	not available	not available	not available	Assay_19	proteomic profiling by mass spectrometry	1	2127001-4.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	19	NT=HCD	15 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
