source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20160323_Andrew_AWMC_IDA_0-1	20160323_Andrew_AWMC_IDA_0-1	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_0-1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_0-1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_0-3	20160323_Andrew_AWMC_IDA_0-3	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_0-3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_0-3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_12-1	20160323_Andrew_AWMC_IDA_12-1	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_12-1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_12-1.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_12-3	20160323_Andrew_AWMC_IDA_12-3	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_12-3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_12-3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_2-1	20160323_Andrew_AWMC_IDA_2-1	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_2-1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_2-1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_2-3	20160323_Andrew_AWMC_IDA_2-3	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_2-3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_2-3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_20-1	20160323_Andrew_AWMC_IDA_20-1	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_20-1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_20-1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_20-3	20160323_Andrew_AWMC_IDA_20-3	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_20-3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_20-3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_24-1	20160323_Andrew_AWMC_IDA_24-1	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_24-1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_24-1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_24-3	20160323_Andrew_AWMC_IDA_24-3	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_24-3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_24-3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
