source name	characteristics[organism]	characteristics[strain or breed]	characteristics[organism part]	characteristics[cell type]	characteristics[genotype]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	factor value[genotype]
Ld1S_WT_bio4	Leishmania donovani	Ld1S	not applicable	promastigote	wild type	not applicable	4	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	AC=MS:1000422;NT=beam-type collision-induced dissociation	28 NCE	10 ppm	0.05 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	400m/z-1650m/z	1	1	Experiment4_wildtype.raw	wild type
Ld1S_SET7mut_bio4	Leishmania donovani	Ld1S	not applicable	promastigote	SET7 mutant	not applicable	4	run 2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	AC=MS:1000422;NT=beam-type collision-induced dissociation	28 NCE	10 ppm	0.05 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	400m/z-1650m/z	1	1	Experiment4_set7mutant.raw	SET7 mutant
Ld1S_SET29mut_bio4	Leishmania donovani	Ld1S	not applicable	promastigote	SET29 mutant	not applicable	4	run 3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	AC=MS:1000422;NT=beam-type collision-induced dissociation	28 NCE	10 ppm	0.05 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	400m/z-1650m/z	1	1	Experiment4_set29mutant.raw	SET29 mutant
