source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	characteristics[sampling time]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]
PXD071060_HG001_A_R1	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	1	2 hour	PXD071060_A_R1	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_A_rep1_200ng_Slot1-10_1_2708.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	2 hour
PXD071060_HG001_A_R2	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	2	2 hour	PXD071060_A_R2	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_A_rep2_200ng_Slot1-11_1_2709.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	2 hour
PXD071060_HG001_A_R3	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	3	2 hour	PXD071060_A_R3	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_A_rep3_200ng_Slot1-12_1_2710.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	2 hour
PXD071060_HG001_A_R4	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	4	2 hour	PXD071060_A_R4	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_A_rep4_200ng_Slot1-13_1_2711.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	2 hour
PXD071060_HG001_B_R1	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	1	3 hour	PXD071060_B_R1	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_B_rep1_200ng_Slot1-14_1_2715.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	3 hour
PXD071060_HG001_B_R2	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	2	3 hour	PXD071060_B_R2	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_B_rep2_200ng_Slot1-15_1_2716.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	3 hour
PXD071060_HG001_B_R3	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	3	3 hour	PXD071060_B_R3	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_B_rep3_200ng_Slot1-16_1_2717.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	3 hour
PXD071060_HG001_B_R4	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	4	3 hour	PXD071060_B_R4	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_B_rep4_200ng_Slot1-16_1_2718.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	3 hour
PXD071060_HG001_C_R1	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	1	4 hour	PXD071060_C_R1	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_C_rep1_200ng_Slot1-19_1_2724.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	4 hour
PXD071060_HG001_C_R2	Staphylococcus aureus	not applicable	not applicable	not applicable	cell	2	4 hour	PXD071060_C_R2	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	30 ppm	1	1	2023_S37_MKohl_DiffS1_C_rep2_200ng_Slot1-20_1_2725.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	4 hour
