source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[crosslinker treatment]
HA-TLR4 HEK293 Control replicate 1	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	1	not available	not available	anti-HA magnetic bead affinity purification	not available	not available	not available	Control-R1	proteomic profiling by mass spectrometry	Control-R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Control-R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	not applicable	not applicable	anti-HA magnetic bead affinity purification	not applicable	not applicable	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Control	no crosslinker
HA-TLR4 HEK293 Control replicate 2	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	2	not available	not available	anti-HA magnetic bead affinity purification	not available	not available	not available	Control-R2	proteomic profiling by mass spectrometry	Control-R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Control-R2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	not applicable	not applicable	anti-HA magnetic bead affinity purification	not applicable	not applicable	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Control	no crosslinker
HA-TLR4 HEK293 Control replicate 3	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	3	not available	not available	anti-HA magnetic bead affinity purification	not available	not available	not available	Control-R3	proteomic profiling by mass spectrometry	Control-R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Control-R3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	not applicable	not applicable	anti-HA magnetic bead affinity purification	not applicable	not applicable	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Control	no crosslinker
HA-TLR4 HEK293 Control replicate 1	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	1	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Control-XL-R1	proteomic profiling by mass spectrometry	Control-XL-R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Control-XL-R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=ETD-XL;AC=XLMOD:00000	anti-HA magnetic bead affinity purification	1 umol/mL	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Control	ETD-XL treated
HA-TLR4 HEK293 Control replicate 2	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	2	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Control-XL-R2	proteomic profiling by mass spectrometry	Control-XL-R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Control-XL-R2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=ETD-XL;AC=XLMOD:00000	anti-HA magnetic bead affinity purification	1 umol/mL	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Control	ETD-XL treated
HA-TLR4 HEK293 Control replicate 3	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	3	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Control-XL-R3	proteomic profiling by mass spectrometry	Control-XL-R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Control-XL-R3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=ETD-XL;AC=XLMOD:00000	anti-HA magnetic bead affinity purification	1 umol/mL	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Control	ETD-XL treated
HA-TLR4 HEK293 LPS replicate 1	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	1	not available	not available	anti-HA magnetic bead affinity purification	not available	not available	not available	LPS-R1	proteomic profiling by mass spectrometry	LPS-R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/LPS-R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	not applicable	not applicable	anti-HA magnetic bead affinity purification	not applicable	not applicable	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	LPS	no crosslinker
HA-TLR4 HEK293 LPS replicate 2	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	2	not available	not available	anti-HA magnetic bead affinity purification	not available	not available	not available	LPS-R2	proteomic profiling by mass spectrometry	LPS-R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/LPS-R2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	not applicable	not applicable	anti-HA magnetic bead affinity purification	not applicable	not applicable	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	LPS	no crosslinker
HA-TLR4 HEK293 LPS replicate 3	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	3	not available	not available	anti-HA magnetic bead affinity purification	not available	not available	not available	LPS-R3	proteomic profiling by mass spectrometry	LPS-R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/LPS-R3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	not applicable	not applicable	anti-HA magnetic bead affinity purification	not applicable	not applicable	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	LPS	no crosslinker
HA-TLR4 HEK293 LPS replicate 1	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	1	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	LPS-XL-R1	proteomic profiling by mass spectrometry	LPS-XL-R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/LPS-XL-R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=ETD-XL;AC=XLMOD:00000	anti-HA magnetic bead affinity purification	1 umol/mL	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	LPS	ETD-XL treated
