source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	factor value[treatment]
SMARCA4_MC180295_1h	homo sapiens	not applicable	not applicable	1	not applicable	tissue	not available	not available	ELITE_JP_SMARCA4MC180295_1HOUR_BUFFERX.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD009573/ELITE_JP_SMARCA4MC180295_1HOUR_BUFFERX.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.4 Da	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=Y;PP=Anywhere	MC180295
SMARCA4_MC180295_30min	homo sapiens	not applicable	not applicable	1	not applicable	tissue	not available	not available	ELITE_JP_SMARCA4MC180295_30MINS_BUFFERX.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD009573/ELITE_JP_SMARCA4MC180295_30MINS_BUFFERX.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.4 Da	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=Y;PP=Anywhere	MC180295
SMARCA4_1h	homo sapiens	not applicable	not applicable	1	not applicable	tissue	not available	not available	ELITE_JP_SMARCA4_1HOUR_BUFFERX.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD009573/ELITE_JP_SMARCA4_1HOUR_BUFFERX.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.4 Da	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=Y;PP=Anywhere	no compound
SMARCA4_30min	homo sapiens	not applicable	not applicable	1	not applicable	tissue	not available	not available	ELITE_JP_SMARCA4_30MINS_BUFFERX.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD009573/ELITE_JP_SMARCA4_30MINS_BUFFERX.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.4 Da	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=Y;PP=Anywhere	no compound
SMARCA4_alone	homo sapiens	not applicable	not applicable	1	not applicable	tissue	not available	not available	ELITE_JP_SMARCA4_ALONE_BUFFERX.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD009573/ELITE_JP_SMARCA4_ALONE_BUFFERX.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	20 ppm	0.4 Da	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=Y;PP=Anywhere	no compound
