source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[culture medium]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms min im]	comment[ms max im]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[genotype]	factor value[treatment]
K562_sgNTA_CTRL_1	Homo sapiens	pleural effusion	not available	1	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_CTRL_1_S3-A1_1_16352	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_CTRL_1_S3-A1_1_16352.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
K562_sgNTA_CTRL_2	Homo sapiens	pleural effusion	not available	2	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_CTRL_2_S3-A2_1_16354	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_CTRL_2_S3-A2_1_16354.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
K562_sgNTA_CTRL_3	Homo sapiens	pleural effusion	not available	3	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_CTRL_3_S3-A3_1_16363	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_CTRL_3_S3-A3_1_16363.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
K562_sgNTA_CTRL_4	Homo sapiens	pleural effusion	not available	4	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_CTRL_4_S3-A4_1_16366	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_CTRL_4_S3-A4_1_16366.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
K562_sgNTA_H2O2_1	Homo sapiens	pleural effusion	not available	1	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, then 200 uM hydrogen peroxide for 2 h, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_H2O2_1_S3-A5_1_16350	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_H2O2_1_S3-A5_1_16350.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	carfilzomib and CB-5083 pretreatment, then 200 uM hydrogen peroxide for 2 h, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
K562_sgNTA_H2O2_2	Homo sapiens	pleural effusion	not available	2	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, then 200 uM hydrogen peroxide for 2 h, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_H2O2_2_S3-A6_1_16358	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_H2O2_2_S3-A6_1_16358.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	carfilzomib and CB-5083 pretreatment, then 200 uM hydrogen peroxide for 2 h, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
K562_sgNTA_H2O2_3	Homo sapiens	pleural effusion	not available	3	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, then 200 uM hydrogen peroxide for 2 h, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_H2O2_3_S3-A7_1_16364	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_H2O2_3_S3-A7_1_16364.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	carfilzomib and CB-5083 pretreatment, then 200 uM hydrogen peroxide for 2 h, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
K562_sgNTA_H2O2_4	Homo sapiens	pleural effusion	not available	4	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, then 200 uM hydrogen peroxide for 2 h, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_H2O2_4_S3-A8_1_16367	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgNTA_H2O2_4_S3-A8_1_16367.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; non-targeting sgRNA control (sgNTA)	carfilzomib and CB-5083 pretreatment, then 200 uM hydrogen peroxide for 2 h, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
K562_sgFBXO31_CTRL_1	Homo sapiens	pleural effusion	not available	1	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; FBXO31 CRISPRi knockdown (sgFBXO31)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgFBXO31_CTRL_1_S3-B1_1_16351	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgFBXO31_CTRL_1_S3-B1_1_16351.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; FBXO31 CRISPRi knockdown (sgFBXO31)	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
K562_sgFBXO31_CTRL_2	Homo sapiens	pleural effusion	not available	2	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest	European ancestry	53Y	female	adult	K-562	K562	CVCL_0004	K-562	pleural effusion	not available	Roswell Park Memorial Institute 1640 Medium	dCas9-KRAB-BFP; FBXO31 CRISPRi knockdown (sgFBXO31)	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgFBXO31_CTRL_2_S3-B2_1_16353	proteomic profiling by mass spectrometry	1	20240716_TIMS02_Evo2_44min_LuHe_SA_H341_L_141_sgFBXO31_CTRL_2_S3-B2_1_16353.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	2024-07-16	0.7	1.3	350	1200	not available	NT=diaPASEF;AC=PRIDE:0000650	dCas9-KRAB-BFP; FBXO31 CRISPRi knockdown (sgFBXO31)	carfilzomib and CB-5083 pretreatment, no hydrogen peroxide, N8-block with 1 uM MLN4924 and 1 uM CSN5i-3 for 3 min before harvest
