source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]	factor value[treatment]	factor value[sampling time]
ABA_2h_rep1	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour	1	run_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20190425AT_AT_ABA2_400_550Da_DIA_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour
ABA_2h_rep1	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour	1	run_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	2	1	20190425AT_AT_ABA2_550_700Da_DIA_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour
ABA_2h_rep1	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour	1	run_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	3	1	20190425AT_AT_ABA2_700_850Da_DIA_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour
ABA_2h_rep2	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour	2	run_4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20190425AT_AT_ABA2_400_550Da_DIA_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour
ABA_2h_rep2	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour	2	run_5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	2	1	20190425AT_AT_ABA2_550_700Da_DIA_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour
ABA_2h_rep2	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour	2	run_6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	3	1	20190425AT_AT_ABA2_700_850Da_DIA_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour
ABA_2h_rep3	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour	3	run_7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20190430AT_AT_ABA2_400_550Da_DIA_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour
ABA_2h_rep3	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour	3	run_8	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	2	1	20190430AT_AT_ABA2_550_700Da_DIA_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour
ABA_2h_rep3	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour	3	run_9	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	3	1	20190430AT_AT_ABA2_700_850Da_DIA_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	2 hour
ABA_24h_rep1	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	NT=rosette leaf;AC=BTO:0003086	not applicable	normal	NT=rosette growth stage;AC=PO:0007113	not available	Col-0	not available	NT=(+)-abscisic acid;AC=CHEBI:2365	24 hour	1	run_10	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20190425AT_AT_ABA24_400_550Da_DIA_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=rosette leaf;AC=BTO:0003086	NT=(+)-abscisic acid;AC=CHEBI:2365	24 hour
