source name	characteristics[organism]	characteristics[treatment]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Soybean_Control_Rep1	Glycine max	Control	not available	1	assay_Soybean_Control_Rep1	proteomic profiling by mass spectrometry	1	1	Soybean_Control_Rep1.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_Control_Rep2	Glycine max	Control	not available	1	assay_Soybean_Control_Rep2	proteomic profiling by mass spectrometry	1	1	Soybean_Control_Rep2.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_Control_Rep3	Glycine max	Control	not available	1	assay_Soybean_Control_Rep3	proteomic profiling by mass spectrometry	1	1	Soybean_Control_Rep3.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_BacillusHT1_Rep1	Glycine max	BacillusHT1	not available	1	assay_Soybean_BacillusHT1_Rep1	proteomic profiling by mass spectrometry	1	1	Soybean_BacillusHT1_Rep1.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_BacillusHT1_Rep2	Glycine max	BacillusHT1	not available	1	assay_Soybean_BacillusHT1_Rep2	proteomic profiling by mass spectrometry	1	1	Soybean_BacillusHT1_Rep2.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_BacillusHT1_Rep3	Glycine max	BacillusHT1	not available	1	assay_Soybean_BacillusHT1_Rep3	proteomic profiling by mass spectrometry	1	1	Soybean_BacillusHT1_Rep3.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_BacillusHT2_Rep1	Glycine max	BacillusHT2	not available	1	assay_Soybean_BacillusHT2_Rep1	proteomic profiling by mass spectrometry	1	1	Soybean_BacillusHT2_Rep1.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_BacillusHT2_Rep2	Glycine max	BacillusHT2	not available	1	assay_Soybean_BacillusHT2_Rep2	proteomic profiling by mass spectrometry	1	1	Soybean_BacillusHT2_Rep2.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_BacillusHT2_Rep3	Glycine max	BacillusHT2	not available	1	assay_Soybean_BacillusHT2_Rep3	proteomic profiling by mass spectrometry	1	1	Soybean_BacillusHT2_Rep3.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_BacillusHT3_Rep1	Glycine max	BacillusHT3	not available	1	assay_Soybean_BacillusHT3_Rep1	proteomic profiling by mass spectrometry	1	1	Soybean_BacillusHT3_Rep1.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_BacillusHT3_Rep2	Glycine max	BacillusHT3	not available	1	assay_Soybean_BacillusHT3_Rep2	proteomic profiling by mass spectrometry	1	1	Soybean_BacillusHT3_Rep2.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
Soybean_BacillusHT3_Rep3	Glycine max	BacillusHT3	not available	1	assay_Soybean_BacillusHT3_Rep3	proteomic profiling by mass spectrometry	1	1	Soybean_BacillusHT3_Rep3.raw.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
