source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[strain/breed]	characteristics[growth condition]	characteristics[time]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain/breed]	factor value[growth condition]	factor value[time]
PXD083366-sample-1	Burkholderia sola	not applicable	not applicable	not applicable	not applicable	27D6	axenic culture	day 2	1	27D6_alone_d2_1	proteomic profiling by mass spectrometry	20260615-T17-22_20260618124406.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	axenic	day 2
PXD083366-sample-2	Burkholderia sola	not applicable	not applicable	not applicable	not applicable	27D6	axenic culture	day 2	2	27D6_alone_d2_2	proteomic profiling by mass spectrometry	20260615-T18-23_20260618161622.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	axenic	day 2
PXD083366-sample-3	Burkholderia sola	not applicable	not applicable	not applicable	not applicable	27D6	axenic culture	day 2	3	27D6_alone_d2_3	proteomic profiling by mass spectrometry	20260615-T19-24.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	axenic	day 2
PXD083366-sample-4	Burkholderia sola	not applicable	not applicable	not applicable	not applicable	27D6	axenic culture	day 2	4	27D6_alone_d2_4	proteomic profiling by mass spectrometry	20260615-T20-25.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	axenic	day 2
PXD083366-sample-5	Burkholderia sola	not applicable	not applicable	not applicable	not applicable	27D6	axenic culture	day 3	1	27D6_alone_d3_1	proteomic profiling by mass spectrometry	20260615-T25-30.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	axenic	day 3
PXD083366-sample-6	Burkholderia sola	not applicable	not applicable	not applicable	not applicable	27D6	axenic culture	day 3	2	27D6_alone_d3_2	proteomic profiling by mass spectrometry	20260615-T26-31.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	axenic	day 3
PXD083366-sample-7	Burkholderia sola	not applicable	not applicable	not applicable	not applicable	27D6	axenic culture	day 3	3	27D6_alone_d3_3	proteomic profiling by mass spectrometry	20260615-T27-32.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	axenic	day 3
PXD083366-sample-8	Burkholderia sola	not applicable	not applicable	not applicable	not applicable	27D6	axenic culture	day 3	4	27D6_alone_d3_4	proteomic profiling by mass spectrometry	20260615-T28-33.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	axenic	day 3
PXD083366-sample-9	Burkholderia sola	Chlamydomonas reinhardtii	not applicable	not applicable	not applicable	27D6	co-culture with Chlamydomonas reinhardtii	day 2	1	27D6_withC_d2_1	proteomic profiling by mass spectrometry	20260615-T21-26.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	co-culture	day 2
PXD083366-sample-10	Burkholderia sola	Chlamydomonas reinhardtii	not applicable	not applicable	not applicable	27D6	co-culture with Chlamydomonas reinhardtii	day 2	2	27D6_withC_d2_2	proteomic profiling by mass spectrometry	20260615-T22-27.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	20.0 ppm	20.0 ppm	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	27D6	co-culture	day 2
