source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
120329kw_JEnglish_JE11_3	mus musculus	brain	not applicable	Disease of mental health	9 weeks	3	120329kw_JEnglish_JE11_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE11_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE11_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
120329kw_JEnglish_JE12_2	mus musculus	brain	not applicable	Disease of mental health	9 weeks	2	120329kw_JEnglish_JE12_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE12_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE12_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
120329kw_JEnglish_JE3_2	mus musculus	brain	not applicable	Disease of mental health	9 weeks	2	120329kw_JEnglish_JE3_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE3_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE3_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
120329kw_JEnglish_JE2_3	mus musculus	brain	not applicable	Disease of mental health	9 weeks	3	120329kw_JEnglish_JE2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE2_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE2_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
120329kw_JEnglish_JE3_1	mus musculus	brain	not applicable	Disease of mental health	9 weeks	1	120329kw_JEnglish_JE3_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE3_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE3_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
120329kw_JEnglish_JE4_3	mus musculus	brain	not applicable	Disease of mental health	9 weeks	3	120329kw_JEnglish_JE4_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE4_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE4_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
120329kw_JEnglish_JE11_2	mus musculus	brain	not applicable	Disease of mental health	9 weeks	2	120329kw_JEnglish_JE11_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE11_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE11_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
120329kw_JEnglish_JE7_1	mus musculus	brain	not applicable	Disease of mental health	9 weeks	1	120329kw_JEnglish_JE7_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE7_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE7_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
120329kw_JEnglish_JE14_1	mus musculus	brain	not applicable	Disease of mental health	9 weeks	1	120329kw_JEnglish_JE14_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE14_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE14_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
120329kw_JEnglish_JE2_1	mus musculus	brain	not applicable	Disease of mental health	9 weeks	1	120329kw_JEnglish_JE2_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2000 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	120329kw_JEnglish_JE2_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001277/120329kw_JEnglish_JE2_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	brain
