source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]	factor value[time]
control 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	1	cell	run 1-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_1_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_1_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	0h
control 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	1	cell	run 1-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_1_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_1_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	0h
control 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	2	cell	run 2-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_2_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_2_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	0h
control 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	2	cell	run 2-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_2_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_2_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	0h
HIV-1 0h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	3	cell	run 3-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_3_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_3_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	0h
HIV-1 0h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	3	cell	run 3-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_3_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_3_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	0h
HIV-1 0h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	4	cell	run 4-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_4_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_4_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	0h
HIV-1 0h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	4	cell	run 4-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_4_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_4_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	0h
mock 4h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	5	cell	run 5-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_5_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_5_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	4h
mock 4h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	5	cell	run 5-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_5_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_5_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	4h
