id	group	label	reason	organism_taxname	pmid	doi	n_raw_files	n_sdrf_rows	instrument	quantification	experiment_types	title
PXD007833	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	3	3	6520A Quadrupole Time-of-Flight LC/MS	not available	Shotgun proteomics	Candida albicans proyeomics_Planktonic DMSO control
PXD007834	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	3	3	6520A Quadrupole Time-of-Flight LC/MS	not available	Shotgun proteomics	Candida albicans proteomics_biofilm with Aureobasidin treatment
PXD007835	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	3	3	6520A Quadrupole Time-of-Flight LC/MS	not available	Shotgun proteomics	Candida albicans proteomics_planktonic with Aureobasidin treatment
PXD008362	Candida	include	annotated in this batch	Candida albicans (yeast)	30262823	not available	18	3	Synapt MS	not available	HDMSE	Specificity of the osmotic stress in Candida albicans highlighted by quantitative proteomics - C4PR_LIV
PXD010827	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	10.6019/PXD010827	1	1	Q Exactive	not available	Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics	Genetic analysis of Hsp70 phosphorylation sitesreveals a role in Candida albicanscell and colony morphogenesis
PXD010881	Candida	include	annotated in this batch	Candida albicans (yeast)	31788966	not available	21	21	Orbitrap Fusion ETD	not available	Shotgun proteomics	A proteomic and functional analysis of the metabolic adaptive response to iron during the filamentation process of the pathogen Candida albicans.
PXD012944	Candida	include	annotated in this batch	Candida albicans (yeast)	31293987	not available	8	8	impact II	Label free	Shotgun proteomics	Proteomic analysis of Candida albicans after serial systemic infection in murine model
PXD013456	Candida	include	annotated in this batch	[candida] auris	31186339	not available	6	6	Q Exactive	not available	Shotgun proteomics	Candida auris whole cell proteomics
PXD013457	Candida	include	annotated in this batch	Candida albicans (yeast)	31186339	not available	3	3	Q Exactive	not available	Shotgun proteomics	Candida albicans whole cell proteomics
PXD013933	Candida	include	annotated in this batch	Candida albicans sc5314	34201883	10.6019/PXD013933	2	2	Q Exactive	not available	Shotgun proteomics	Immunoproteomic study of Candida albicans hyphal secretome for the identification of diagnostic biomarker candidates of invasive candidiasis
PXD014367	Candida	include	annotated in this batch	Candida albicans (yeast)	32363014	not available	16	16	Q Exactive	MaxQuant:LFQ intensity	Shotgun proteomics	Candida albicans (DAY286 yeast) extracellular vesicle and whole cell lysate proteomes
PXD014388	Candida	include	annotated in this batch	Candida albicans (yeast)	32363014	not available	24	24	Q Exactive	MaxQuant:LFQ intensity	Shotgun proteomics	Candida albicans (ATCC90028 and ATCC10231 yeast) extracellular vesicle and whole cell lysate proteomes
PXD014389	Candida	include	annotated in this batch	Candida albicans (yeast)	32363014	not available	20	20	Q Exactive	MaxQuant:LFQ intensity	Shotgun proteomics	Candida albicans (DAY286 biofilm) extracellular vesicle and whole cell lysate proteomes
PXD015131	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	31621333	not available	12	12	LTQ Orbitrap Velos	not available	Shotgun proteomics	Secretome analysis of Candida glabrata wild-type and aspartyl protease-deficient strains
PXD015132	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	31621333	not available	12	12	LTQ Orbitrap Velos	not available	Shotgun proteomics	Secretome analysis of Candida glabrata aspartyl protease-deficient strains
PXD015147	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	not available	not available	4	4	Q Exactive	not available	Shotgun proteomics	Quantitative secretome profiling of Candida glabrata wild-type and aspartyl protease-deficient strains
PXD016867	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	32134928	not available	10	10	LTQ Orbitrap Velos	not available	Shotgun proteomics	Interactome identification of Histones H3 and H4 in the presence and absence of methyl methanesulfonate (MMS) in the pathogenic yeast Candida glabrata
