id	group	label	reason	organism_taxname	pmid	doi	n_raw_files	n_sdrf_rows	instrument	quantification	experiment_types	title
PXD002124	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	26439676	not available	6	6	LTQ Orbitrap Velos	Label free;TIC;Spectrum counting	Shotgun proteomics	Zebrafish Deyolking Survey -  A Survey of the Impact of Deyolking on Biological Processes Covered by Shotgun Proteomic Analyses of Zebrafish Embryos
PXD002455	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	26585961	not available	4	4	Q Exactive	not available	Gel-based experiment	Calsequestrins in skeletal and cardiac muscle from adult Danio rerio.
PXD003455	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	27696471	not available	2	2	Q Exactive	not available	Shotgun proteomics	Zebrafish embryo Kac -  Global proteomic analysis of lysine acetylation in zebrafish (Danio rerio) embryos
PXD004115	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	28210224	not available	22	11	TripleTOF 5600	not available	Gel-based experiment	In-depth proteomic mapping of skin mucus of gilthead sea bream (Sparus aurata). Surrogate markers of chronic stress in fish farming
PXD004116	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	28210224	not available	10	5	TripleTOF 5600	not available	Gel-based experiment	In-depth proteomic mapping of skin mucus of gilthead sea bream (Sparus aurata). Surrogate markers of chronic stress in fish farming
PXD004209	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	27459904	not available	114	114	Q Exactive	not available	Shotgun proteomics	A detailed proteomic analysis of plasma membrane from zebrafish brain
PXD005129	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	29145436	10.6019/PXD005129	16	16	LTQ Orbitrap	not available	Shotgun proteomics	Proteomic portraits of egg quality in zebrafish (Danio rerio)
PXD005137	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	29145436	10.6019/PXD005137	39	39	LTQ Orbitrap	not available	Shotgun proteomics	Proteomic portraits of egg quality in zebrafish (Danio rerio)
PXD005843	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	28300160	10.6019/PXD005843	30	30	Q-Tof Premier	not available	MSE	Zebrafish retinal proteome during experimental degeneration and regeneration
PXD009612	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	34416891	not available	6	6	Q Exactive	Normalized Spectral Abundance Factor - NSAF	Shotgun proteomics	Sodium valproate is protective in a transgenic zebrafish model of Machado Joseph disease
PXD009934	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	37958719	not available	12	12	LTQ Orbitrap Velos	Label free	Shotgun proteomics	Zebrafish embryo T18°C MAX QUANT
PXD010869	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	30747917	not available	36	18	TripleTOF 5600	SWATH MS	SWATH MS	Quantification of brain, muscle, and liver using large SWATH-spectral library
PXD011258	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	30745143	not available	7	7	LTQ Orbitrap	not available	Shotgun proteomics	MS on EVs from the YSL of 3dpf zebrafish embryos
PXD011981	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	33	33	Q Exactive Plus	Label free	Shotgun proteomics	Proteomics analysis of behavioral adaptation in zebrafish larvae
PXD012735	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	30864180	not available	11	11	LTQ Orbitrap Velos	not available	Shotgun proteomics	Zebrafish, LC-MS/MS -  Profiling of Histidine Phosphoproteome in Danio rerio by TiO2 Enrichment
PXD013173	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	31483678	not available	4	4	LTQ Orbitrap Velos	not available	Shotgun proteomics	Global Proteomic Analysis of Lysine Succinylation in Zebrafish (Danio rerio)
PXD016357	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	6	6	LTQ Orbitrap Velos	not available	Gel-based experiment	Identification of ELC interacting proteins in zebrafish heart
PXD017123	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	12	12	Q Exactive Plus	Label free	Shotgun proteomics	Proteomics analysis of egg chorion from wt and Larp6 knockout zebrafish.
PXD017523	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	32258030	not available	12	12	Q Exactive	Label free	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	Rab28 is localised to photoreceptor outer segments, regulates outer segment shedding but is not linked to retinal degeneration in zebrafish
PXD021302	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	33910518	10.6019/PXD021302	12	12	LTQ Orbitrap	not available	Shotgun proteomics	Egg proteome in vtg1 and vtg3 knocked-out zebrafish females
PXD022578	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	36878054	not available	37	37	Orbitrap Fusion Lumos	Label free	Shotgun proteomics	Insights into the modes of action of tritium on zebrafish, Danio rerio, early-life stages, using proteomic analyses
PXD023506	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	11	11	Q Exactive HF	not available	Shotgun proteomics	Sexual dimorphism in zebrafish heart associated proteins
PXD023967	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	24	24	Q Exactive	Spectrum counting	Shotgun proteomics	Proteomics of motor neuron in ASL model sorted by FACS
PXD025850	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	34172817	10.6019/PXD025850	8	8	Q Exactive	not available	Shotgun proteomics	Proteomics analysis zebrafish ALS model
PXD030733	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	35628418	not available	34	34	LTQ Orbitrap Velos	not available	Shotgun proteomics	the expression of BDNF and the levels of this neurotrophin influence the behavioural response in Zebrafish
PXD033338	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	12	12	Q Exactive	not available	Shotgun proteomics	Sexual dimorphism in the zebrafish eye proteins
PXD036830	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	36768797	not available	50	50	Orbitrap Fusion	not available	SWATH MS;Shotgun proteomics	Hepatic processing of Z variant α-1-antitrypsin alters ERAD capacity to regulate cholesterol biosynthesis in a zebrafish model
PXD037590	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	40	40	Q Exactive HF	Label free	Shotgun proteomics	Proteomics analysis of zebrafish spinal cord regeneration
PXD037605	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	96	96	timsTOF Pro	Label free	Shotgun proteomics	Proteomics analysis of zebrafish spinal cord regeneration following extracellular matrix manipulations
PXD038406	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	17	17	Q Exactive HF	not available	Shotgun proteomics	Atrogin-1 regulates BiP levels - novel therapeutic targets for Duchenne Muscular Dystrophy
PXD040214	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	40023981	10.6019/PXD040214	6	6	Q Exactive Plus	Label free	Shotgun proteomics	Multiomics approaches in Alexander disease zebrafish model show correlation between GFAP aggregation, altered lipid metabolism and oxidative stress
PXD043676	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	37951597	not available	24	24	Orbitrap Eclipse	not available	Shotgun proteomics	ACBD6-related progressive neurodevelopmental disorder – chemical proteomics of YnMyr-labelled proteins in developing Danio rerio (zebrafish)
PXD043679	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	37951597	not available	24	24	Orbitrap Eclipse	not available	Shotgun proteomics	ACBD6-related progressive neurodevelopmental disorder – whole proteome of developing Danio rerio (zebrafish)
PXD044765	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	48	48	Orbitrap Fusion	Label free	Shotgun proteomics	BCL2L13 regulates sarcoplasmic reticulum-mitochondria calcium flux in skeletal muscle
PXD045670	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	38908344	10.6019/PXD045670	19	19	Q Exactive	not available	Shotgun proteomics	Zebrafish gabra1 sa43718 allele proteomics
PXD046501	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	23	23	Orbitrap Fusion Lumos	not available	Shotgun proteomics;Bottom-up proteomics	Poss_Pronobis BioID2 Zebrafish Interaction Proteomics
PXD048925	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	12	6	ZenoTOF 7600	not available	Data-independent acquisition	DIA-based quantitative proteomic analysis of adult sec31a-nju221 zebrafish liver
PXD050396	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	40705969	not available	22	22	Q Exactive	not available	Data-independent acquisition	Phosphoproteomic analysis reveals the diversity of signaling behind ErbB inhibitor-induced phenotypes
PXD051329	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	38891869	not available	10	10	Q Exactive HF	not available	Shotgun proteomics	A proteomic analysis sheds light on the cyst structure and its immune barrier function in tilapia infected by the parasite Myxobolus bejeranoi.
PXD052468	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	10.6019/PXD052468	6	6	Orbitrap Exploris 480	not available	Bottom-up proteomics;Data-dependent acquisition	Genetic Control Over Biogenic Crystal Morphogenesis in Zebrafish
PXD054212	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	28	28	Orbitrap Exploris 480	not available	Bottom-up proteomics	Zebrafish caudal fin phosphoproteomic of Rps6kb1a/b knockdown
PXD054273	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	11	11	Q Exactive HF	not available	Bottom-up proteomics	Sexual dimorphism in zebrafish gastrointestinal tract
PXD054632	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	25	25	Orbitrap Exploris 480	not available	Bottom-up proteomics;Data-dependent acquisition	Identification of Tmem81 and Izumo1-associated proteins in zebrafish sperm by IP-MS/MS
PXD058516	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	41072919	not available	9	9	Orbitrap Fusion Lumos	label free sample	Data-independent acquisition	Proteomics of zebrafish early somites
PXD058522	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	40659819	not available	30	30	LTQ Orbitrap Elite	not available	Bottom-up proteomics;Data-dependent acquisition	Long-Term Benefits of TUDCA Supplement in ARSACS Zebrafish Model
PXD066565	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	53	53	Orbitrap Fusion Lumos	not available	Bottom-up proteomics;Data-dependent acquisition	Multiomics profiling of zebrafish embryonic cell line PAC2 across growth phases to assess its relevance for toxicological studies
PXD070358	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	41373501	not available	55	55	Q Exactive HF-X	not available	Data-independent acquisition;Bottom-up proteomics	Chios Mastic Gum Extract Enhances Antioxidant Defense in Zebrafish
PXD072402	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	6	6	Q Exactive HF	not available	Affinity purification coupled with mass spectrometry proteomics	Ptprf is the conserved receptor for Asprosin’s glucogenic effects in vertebrates
PXD078909	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	not available	10.6019/PXD078909	108	54	TripleTOF 5600	not available	SWATH MS	Zebrafish quantitative proteomics
PXD000292	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	23964590	not available	5	5	Q Exactive	not available	Bottom-up proteomics	ChaFRADIC: A novel SCX-based approach for N-terminal Enrichment
PXD000405	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	24324010	not available	16	16	LTQ Orbitrap Velos	not available	Bottom-up proteomics	Ndd1 phosphorylation pattern upon DNA damage
PXD000580	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	24237138	10.6019/PXD000580	12	12	Q-Tof Premier	not available	Bottom-up proteomics	Proteomic analysis of yeast mutant RNA exosome complexes
PXD000911	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	25921291	not available	21	21	LTQ Orbitrap	not available	Shotgun proteomics	Dynamic phosphoprotemics yeast nitrogen up-shift
PXD001126	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	25675208	not available	18	6	TripleTOF 5600	not available	SWATH MS;Shotgun proteomics	Building high-quality assay libraries  for targeted analysis of SWATH MS data
PXD001167	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	25106422	10.6019/PXD001167	99	99	LTQ Orbitrap Velos	not available	Shotgun proteomics	Quantitative Histone Acetylation
PXD001275	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	28057603	not available	180	180	LTQ Orbitrap	not available	Shotgun proteomics	The meiotic proteome in yeast -  The protein expression landscape of mitosis and meiosis in diploid budding yeast
PXD001437	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	25886145	10.6019/PXD001437	135	135	LTQ Orbitrap	not available	Bottom-up proteomics	N-terminal acetylome analyses reveals the substrate specificity profile of Naa50 (Nat5) and implicate NATs in influencing initiator Methionine processing
PXD001445	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	25492886	not available	108	108	LTQ Orbitrap	not available	Shotgun proteomics	Phosphoproteomic analyses reveal novel cross-modulation mechanisms between two signaling pathways in yeast
PXD001969	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	26804907	not available	12	12	Q Exactive	18O	Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics	Mps1 Phosphorylation of  the Molecular Chaperone Hsp90  Regulates Mitotic Checkpoint
PXD002198	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	26142280	not available	4	4	LTQ Orbitrap Velos	not available	Shotgun proteomics	Ubiquitin S65 proteomics:  H2O2 phosphorylation response
PXD002607	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	36	36	LTQ Orbitrap Velos	not available	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	Slx5/8 alleviates replication stress by promoting mitotic progression
PXD002726	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	26938934	10.6019/PXD002726	3	3	LTQ Orbitrap Velos	not available	Shotgun proteomics;Gel-based experiment	Optimized data analysis avoiding trypsin artefacts
PXD003463	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	28152593	not available	120	120	Q Exactive	TIC	Shotgun proteomics	Combining deep-sequencing, proteomics, phosphoproteomics and functional screens to discover novel regulators of sphingolipids homeostasis.
PXD004126	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	27788355	not available	35	35	Orbitrap Fusion ETD	not available	Shotgun proteomics	Proteomics needs better chromatography
PXD004326	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	30150368	not available	280	280	LTQ Orbitrap	not available	Shotgun proteomics	Metabolic regulation of N-terminal acetylation in yeast
PXD004761	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	27698474	not available	2	2	Q Exactive	not available	Gel-based experiment	Ubiquitylated-Rpn10 -  Structure of ubiquitylated-Rpn10 provides insight into its autoregulation mechanism
PXD005142	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	28096404	not available	21	21	Q Exactive	not available	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	TORC1 shapes the SUMO proteome to control RNA Polymerase III activity
PXD005237	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	28663385	not available	98	49	TripleTOF 5600	SWATH MS	SWATH MS	Re-examining the role of Cdc14 phosphatase in mitotic exit
PXD006249	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	29093463	not available	42	42	LTQ Orbitrap Elite	not available	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	INA complex liaises the F1Fo-ATP synthase membrane motor modules
PXD006262	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	64	64	LTQ Orbitrap Velos	TIC	Shotgun proteomics	S. cerevisiae proteome response to heat stress - 240 min time course. C4PR_LIV
PXD006336	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	28673088	10.6019/PXD006336	12	12	Q Exactive	not available	Shotgun proteomics	FeatureFinderIdentification (OpenMS) analysis of the iPRG-2015 dataset
PXD006464	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	32991410	not available	54	27	TripleTOF 5600	not available	SWATH MS;Shotgun proteomics	Distinct proteome remodeling of industrial Saccharomyces cerevisiae in response to prolonged thermal stress or transient heat shock
PXD007155	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	29093463	not available	28	28	LTQ Orbitrap Elite	not available	Shotgun proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics	INA complex liaises the F1Fo-ATP synthase membrane motor modules - Ina22-Flag pulldown experiments
PXD008324	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	165	55	4800 Proteomics Analyzer	not available	Shotgun proteomics;Gel-based experiment	PTMs in yeast complexes - We investigate the roles of natively present PTMs on stability of interactions in three large and essential yeast Saccharomyces cerevisiae complexes: exos
PXD008586	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	20	20	LTQ Orbitrap Velos	Label free	Shotgun proteomics	Small Protein Enrichment-Based Proteogenomics Identifies Plentiful Missing Proteins and Three Novel sORFs in Saccharomyces cerevisiae
PXD008962	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	29861160	not available	24	24	Q Exactive	not available	Shotgun proteomics	A regulatory cascade reprograms the ubiquitin ligase Ubr1 to enhance protein quality control during stress
PXD009264	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	4	4	Q Exactive	Peptide counting	Shotgun proteomics	Chromatin-associated proteome S. cerevisiae
PXD009699	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	24	24	Orbitrap Fusion	not available	Shotgun proteomics	GRX deleted Saccharomyces Cerevisiae LC-MSMS
PXD009902	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	30739529	10.6019/PXD009902	117	117	Orbitrap Fusion	Normalized Spectral Abundance Factor - NSAF	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	Proteomic Analysis of an Arsenic Response Locus
PXD010495	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	30599920	10.6019/PXD010495	2	2	TripleTOF 5600	emPAI	Shotgun proteomics	Effect of purification of galactooligosaccharides derived from lactulose with Saccharomyces cerevisiae on their capacity to bind immune cell receptor Dectin-2
PXD010893	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	1315	428	TripleTOF 5600	SWATH MS;Label free	SWATH MS	Yeast Phospho QTL (resubmission)
PXD011084	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	30247619	not available	6	6	Q Exactive	not available	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	Cdk1 Gates Cell Cycle-Dependent tRNA Synthesis by Regulating RNA Polymerase III Activity
PXD011384	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	31118239	10.6019/PXD011384	133	133	LTQ Orbitrap Elite	Spectrum counting	Shotgun proteomics	The stoichiometry of the outer kinetochore responds to microtubule-proximal regulation
PXD011562	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (strain atcc 204508 / s288c) (baker's yeast)	30622160	not available	38	38	LTQ Orbitrap Velos	not available	Shotgun proteomics	Yeast mirror LC-MS/MS -  Precision de novo peptide sequencing using mirror proteases of Ac-LysargiNase and trypsin for large-scale proteomics
PXD011887	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	32857852	not available	57	57	Q Exactive	not available	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	Interactome of WT and mutant PUB1 in Saccharomyces cerevisiae
PXD012018	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	32443484	not available	119	119	LTQ Orbitrap	not available	Shotgun proteomics	Mycobacterium tuberculosis glycoproteomic
PXD012486	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	31351878	not available	99	99	Q Exactive	Spectrum counting	Affinity purification coupled with mass spectrometry proteomics	Network rewiring of homologous recombination during mitotic proliferation and meiosis
PXD012867	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	30865586	not available	16	16	Q Exactive	not available	Shotgun proteomics	The proteasome biogenesis regulator Rpn4 cooperates with the unfolded protein response to promote ER stress resistance
PXD012964	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	31885198	10.6019/PXD012964	100	100	LTQ Orbitrap Elite	not available	Shotgun proteomics	Measuring glycolytic flux in single yeast cells with an orthogonal synthetic biosensor
PXD013782	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	31544936	not available	48	48	LTQ Orbitrap Velos	not available	Shotgun proteomics	Phosphoproteomics of DNA repair in Saccharomyces cerevisisae
PXD013847	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	31909711	not available	24	24	Orbitrap Fusion Lumos	TIC	Shotgun proteomics	Role of Ssd1 in modulating protein abundance in aneuploid wild yeast
PXD013884	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	31676685	not available	45	45	Q Exactive	not available	Affinity purification coupled with mass spectrometry proteomics	Desumoylation of the RNA polymerase III lies at the core of the Sumo-Stress Response
PXD014092	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	32493961;32313017	not available	372	372	Q Exactive	not available	Affinity purification coupled with mass spectrometry proteomics	The RNA fold interactome of evolutionary conserved yeast RNA structures in S. cerevisiae
PXD014236	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	32157425	not available	54	54	Q Exactive HF	Normalized Spectral Abundance Factor - NSAF	Shotgun proteomics	Rpn4- and Proteasome- Mediated Yeast Response to Ethanol Stress: a View from a Proteome
PXD015273	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	48	48	Orbitrap Fusion	not available	Shotgun proteomics	Abundances of transcripts, proteins metabolites and lipids in the cell cycle of budding yeast.
PXD015536	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	10.6019/PXD015536	136	136	Q Exactive HF-X	not available	Shotgun proteomics	LC-MS of S. cerevisiae scale-down cultivations
PXD015565	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	33929514	not available	8	8	Q Exactive	not available	Shotgun proteomics;Gel-based experiment	SUMOylation regulates the metaphase-anaphase transition by stabilizing sister kinetochore biorientation
PXD015668	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	32102971	10.6019/PXD015668	30	30	Orbitrap Fusion	not available	Shotgun proteomics	Yeast AGC-kinases phospho-proteomics
PXD016567	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	33339840	not available	54	27	TripleTOF 5600	SWATH MS	SWATH MS	Differential proteomic analysis by SWATH-MS unravels the most dominant mechanisms underlying yeast adaptation to nonoptimal temperatures under anaerobic conditions- SWATH data
PXD017134	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	32064518	not available	21	21	Orbitrap Fusion Lumos	not available	Shotgun proteomics	A genetic analysis reveals novel histone residues required for transcriptional reprogramming upon stress
PXD018429	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	12	12	timsTOF Pro	Data-independent acquisition	SWATH MS	The kinase Isr1 negatively regulates hexosamine biosynthesis in S. cerevisiae
PXD018733	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	33166396	not available	14	14	Q Exactive	not available	Shotgun proteomics	The translation release factor methyltransferase Mtq2-Trm112 is required for ribosome biogenesis
PXD018762	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	34672913	not available	105	105	Q Exactive HF	not available	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	Integrated multi-omics reveals common properties underlying stress granule and P-body formation
PXD019083	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	33207182	not available	20	20	Q Exactive	not available	Shotgun proteomics	A selective autophagy pathway for endocytic protein condensates
PXD019170	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	33326013	not available	21	21	Q Exactive	Protein Abundance Index - PAI	Gel-based experiment	Subcellular localization of the J-protein Sis1 regulates the heat shock response
PXD019513	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	32817346	not available	72	72	Q Exactive	not available	Shotgun proteomics	Analytical guidelines for co-fractionation mass spectrometry obtained through global profiling of gold standard Saccharomyces cerevisiae protein complexes
PXD019952	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	10.6019/PXD019952	9	9	LTQ Orbitrap Velos	Isotope labeling	Shotgun proteomics	Unravelling metabolic cross-feeding in a yeast-bacteria community using 13C proteomics
PXD020369	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	40	40	Orbitrap Fusion Lumos	Label free	SWATH MS	Phosphoproteomic analysis of signal transmission in the Mitotic Exit Network
PXD020623	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	32840906	10.6019/PXD020623	15	15	Q Exactive	TIC	Affinity purification coupled with mass spectrometry proteomics	AP-3 vesicles retain their coat and depend on the HOPS subunit Vps41 for tethering to vacuoles
PXD021329	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	33573382	not available	48	48	Q Exactive	Peptide counting	Shotgun proteomics	Novel insights into quantitative proteomics from an innovative bottom-up Simple Light Isotope Metabolic (bSLIM) labeling data processing strategy
PXD021502	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	33573382	not available	6	6	Q Exactive Plus	Isotope labeling	Shotgun proteomics	Training set - Novel insights into quantitative proteomics from an innovative bottom-up Simple Light Isotope Metabolic (bSLIM) labeling data processing strategy
PXD021530	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	114	114	Q Exactive HF	Peptide counting	Shotgun proteomics	A global map of protein–metabolite interactions in budding yeast reveals a novel role of a proteogenic dipeptide Ser-Leu in the regulation of a key glycolytic enzyme Pgk1.
PXD022321	S. cerevisiae	include	annotated in this batch	Saccharomyces cerevisiae (baker's yeast)	not available	not available	20	20	Q Exactive HF	not available	Shotgun proteomics	Disturbed intramitochondrial phosphatidic acid transport impairs cellular stress signaling
