source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[strain or breed]	characteristics[genotype]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]
Lmajor_WT	Leishmania major	not applicable	promastigote	not applicable	whole organism	5ASHK	wild type	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	0.5 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=ion trap;AC=MS:1000264	350m/z-1700m/z	2020-03-08T13:40:15	1	1	CONT4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type
Lmajor_WT	Leishmania major	not applicable	promastigote	not applicable	whole organism	5ASHK	wild type	not pooled	1	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	0.5 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=ion trap;AC=MS:1000264	350m/z-1700m/z	2020-03-08T20:57:53	1	2	CONT4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type
Lmajor_WT	Leishmania major	not applicable	promastigote	not applicable	whole organism	5ASHK	wild type	not pooled	1	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	0.5 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=ion trap;AC=MS:1000264	350m/z-1700m/z	2020-03-08T06:22:14	1	3	CONT4_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type
Lmajor_snf1_N2_KO	Leishmania major	not applicable	promastigote	not applicable	whole organism	5ASHK	snf1 kinase homolog (LmjF.29.2020) knockout	not pooled	1	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	0.5 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=ion trap;AC=MS:1000264	350m/z-1700m/z	2020-03-08T17:19:06	1	1	N24_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	snf1 kinase homolog (LmjF.29.2020) knockout
Lmajor_snf1_N2_KO	Leishmania major	not applicable	promastigote	not applicable	whole organism	5ASHK	snf1 kinase homolog (LmjF.29.2020) knockout	not pooled	1	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	0.5 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=ion trap;AC=MS:1000264	350m/z-1700m/z	2020-03-09T00:36:38	1	2	N24_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	snf1 kinase homolog (LmjF.29.2020) knockout
Lmajor_snf1_N2_KO	Leishmania major	not applicable	promastigote	not applicable	whole organism	5ASHK	snf1 kinase homolog (LmjF.29.2020) knockout	not pooled	1	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	0.5 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=ion trap;AC=MS:1000264	350m/z-1700m/z	2020-03-08T10:01:29	1	3	N24__3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	snf1 kinase homolog (LmjF.29.2020) knockout
